"","date_time","veh_id","lat","lon","status","inc_id","full_id","dt","time_diff"
"28287","20180612095935PD","T29",37.40305,-121.93376,"ER","F181639085","T29_F181639085",2018-06-12 09:59:35,0
"28288","20180612095936PD","T29",37.40343,-121.93388,"ER","F181639085","T29_F181639085",2018-06-12 09:59:36,1
"28289","20180612095936PD","T29",37.40378,-121.93398,"ER","F181639085","T29_F181639085",2018-06-12 09:59:36,0
"28290","20180612095937PD","T29",37.40466,-121.93421,"ER","F181639085","T29_F181639085",2018-06-12 09:59:37,1
"28291","20180612095938PD","T29",37.405,-121.93429,"ER","F181639085","T29_F181639085",2018-06-12 09:59:38,1
"28292","20180612095940PD","T29",37.40535,-121.93438,"ER","F181639085","T29_F181639085",2018-06-12 09:59:40,2
"28293","20180612095942PD","T29",37.40571,-121.9345,"ER","F181639085","T29_F181639085",2018-06-12 09:59:42,2
"28294","20180612095944PD","T29",37.40608,-121.93467,"ER","F181639085","T29_F181639085",2018-06-12 09:59:44,2
"28295","20180612095947PD","T29",37.40646,-121.93485,"ER","F181639085","T29_F181639085",2018-06-12 09:59:47,3
"28296","20180612095948PD","T29",37.40686,-121.93501,"ER","F181639085","T29_F181639085",2018-06-12 09:59:48,1
"28297","20180612095950PD","T29",37.40727,-121.93517,"ER","F181639085","T29_F181639085",2018-06-12 09:59:50,2
"28298","20180612095952PD","T29",37.40768,-121.93533,"ER","F181639085","T29_F181639085",2018-06-12 09:59:52,2
"28299","20180612095954PD","T29",37.40809,-121.93549,"ER","F181639085","T29_F181639085",2018-06-12 09:59:54,2
"28300","20180612095957PD","T29",37.40851,-121.93565,"ER","F181639085","T29_F181639085",2018-06-12 09:59:57,3
"28301","20180612095958PD","T29",37.40893,-121.93581,"ER","F181639085","T29_F181639085",2018-06-12 09:59:58,1
"28302","20180612100000PD","T29",37.40934,-121.93596,"ER","F181639085","T29_F181639085",2018-06-12 10:00:00,2
"28303","20180612100002PD","T29",37.40976,-121.93608,"ER","F181639085","T29_F181639085",2018-06-12 10:00:02,2
"28304","20180612100004PD","T29",37.41017,-121.93619,"ER","F181639085","T29_F181639085",2018-06-12 10:00:04,2
"28305","20180612100007PD","T29",37.41057,-121.93632,"ER","F181639085","T29_F181639085",2018-06-12 10:00:07,3
"28306","20180612100008PD","T29",37.41096,-121.93649,"ER","F181639085","T29_F181639085",2018-06-12 10:00:08,1
"28307","20180612100010PD","T29",37.41134,-121.93667,"ER","F181639085","T29_F181639085",2018-06-12 10:00:10,2
"28308","20180612100012PD","T29",37.41168,-121.93682,"ER","F181639085","T29_F181639085",2018-06-12 10:00:12,2
"28309","20180612100030PD","T29",37.41208,-121.937,"ER","F181639085","T29_F181639085",2018-06-12 10:00:30,18
"28310","20180612100032PD","T29",37.41238,-121.93711,"ER","F181639085","T29_F181639085",2018-06-12 10:00:32,2
"28311","20180612100032PD","T29",37.41258,-121.93729,"ER","F181639085","T29_F181639085",2018-06-12 10:00:32,0
"28312","20180612100032PD","T29",37.4126,-121.93773,"ER","F181639085","T29_F181639085",2018-06-12 10:00:32,0
"28313","20180612100032PD","T29",37.41249,-121.93816,"ER","F181639085","T29_F181639085",2018-06-12 10:00:32,0
"28314","20180612100034PD","T29",37.41231,-121.93864,"ER","F181639085","T29_F181639085",2018-06-12 10:00:34,2
"28315","20180612100037PD","T29",37.41211,-121.93908,"ER","F181639085","T29_F181639085",2018-06-12 10:00:37,3
"28316","20180612100040PD","T29",37.4119,-121.9395,"ER","F181639085","T29_F181639085",2018-06-12 10:00:40,3
"28317","20180612100043PD","T29",37.41173,-121.9399,"ER","F181639085","T29_F181639085",2018-06-12 10:00:43,3
"28318","20180612100047PD","T29",37.41159,-121.94027,"ER","F181639085","T29_F181639085",2018-06-12 10:00:47,4
"28319","20180612100050PD","T29",37.41142,-121.94066,"ER","F181639085","T29_F181639085",2018-06-12 10:00:50,3
"28320","20180612100058PD","T29",37.41122,-121.94111,"ER","F181639085","T29_F181639085",2018-06-12 10:00:58,8
"28321","20180612100059PD","T29",37.41099,-121.9416,"ER","F181639085","T29_F181639085",2018-06-12 10:00:59,1
"28322","20180612100059PD","T29",37.41076,-121.94208,"ER","F181639085","T29_F181639085",2018-06-12 10:00:59,0
"28323","20180612100101PD","T29",37.41053,-121.94256,"ER","F181639085","T29_F181639085",2018-06-12 10:01:01,2
"28324","20180612100103PD","T29",37.41035,-121.94291,"ER","F181639085","T29_F181639085",2018-06-12 10:01:03,2
"28325","20180612100105PD","T29",37.41015,-121.94325,"ER","F181639085","T29_F181639085",2018-06-12 10:01:05,2
"28326","20180612100107PD","T29",37.40995,-121.94359,"ER","F181639085","T29_F181639085",2018-06-12 10:01:07,2
"28327","20180612100109PD","T29",37.40977,-121.94396,"ER","F181639085","T29_F181639085",2018-06-12 10:01:09,2
"28328","20180612100111PD","T29",37.40962,-121.94431,"ER","F181639085","T29_F181639085",2018-06-12 10:01:11,2
