"","date_time","veh_id","lat","lon","status","inc_id","full_id","dt","time_diff"
"3467","20180917152621PD","E13",37.27461,-121.88167,"ER","F182609141","E13_F182609141",2018-09-17 15:26:21,2
"3468","20180917152623PD","E13",37.2745,-121.88207,"ER","F182609141","E13_F182609141",2018-09-17 15:26:23,2
"3469","20180917152625PD","E13",37.27439,-121.88247,"ER","F182609141","E13_F182609141",2018-09-17 15:26:25,2
"3470","20180917152627PD","E13",37.27429,-121.88286,"ER","F182609141","E13_F182609141",2018-09-17 15:26:27,2
"3471","20180917152629PD","E13",37.27418,-121.88325,"ER","F182609141","E13_F182609141",2018-09-17 15:26:29,2
"3472","20180917152631PD","E13",37.27407,-121.88364,"ER","F182609141","E13_F182609141",2018-09-17 15:26:31,2
"3473","20180917152634PD","E13",37.27392,-121.88419,"ER","F182609141","E13_F182609141",2018-09-17 15:26:34,3
"3474","20180917152637PD","E13",37.27377,-121.88475,"ER","F182609141","E13_F182609141",2018-09-17 15:26:37,3
"3475","20180917152640PD","E13",37.27363,-121.88528,"ER","F182609141","E13_F182609141",2018-09-17 15:26:40,3
"3476","20180917152643PD","E13",37.2735,-121.88578,"ER","F182609141","E13_F182609141",2018-09-17 15:26:43,3
"3477","20180917152646PD","E13",37.27339,-121.88621,"ER","F182609141","E13_F182609141",2018-09-17 15:26:46,3
"3478","20180917152650PD","E13",37.27328,-121.88664,"ER","F182609141","E13_F182609141",2018-09-17 15:26:50,4
"3479","20180917152655PD","E13",37.27336,-121.88688,"ER","F182609141","E13_F182609141",2018-09-17 15:26:55,5
"3480","20180917153155PD","E13",37.27385,-121.88707,"AR","F182609141","E13_F182609141",2018-09-17 15:31:55,300
