"","date_time","veh_id","lat","lon","status","inc_id","full_id","dt","time_diff"
"6826","20180305125130PS","E21",37.34106,-121.80504,"ER","F180649134","E21_F180649134",2018-03-05 12:51:30,0
"6827","20180305125135PS","E21",37.34105,-121.80507,"ER","F180649134","E21_F180649134",2018-03-05 12:51:35,5
"6828","20180305125140PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:51:40,5
"6829","20180305125144PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:51:44,4
"6830","20180305125149PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:51:49,5
"6831","20180305125153PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:51:53,4
"6832","20180305125158PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:51:58,5
"6833","20180305125202PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:52:02,4
"6834","20180305125207PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:52:07,5
"6835","20180305125211PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:52:11,4
"6836","20180305125216PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:52:16,5
"6837","20180305125220PS","E21",37.34104,-121.80509,"ER","F180649134","E21_F180649134",2018-03-05 12:52:20,4
"6838","20180305125225PS","E21",37.34105,-121.8051,"ER","F180649134","E21_F180649134",2018-03-05 12:52:25,5
"6839","20180305125229PS","E21",37.34101,-121.80513,"ER","F180649134","E21_F180649134",2018-03-05 12:52:29,4
"6840","20180305125234PS","E21",37.34098,-121.80518,"ER","F180649134","E21_F180649134",2018-03-05 12:52:34,5
"6841","20180305125238PS","E21",37.34097,-121.80522,"ER","F180649134","E21_F180649134",2018-03-05 12:52:38,4
"6842","20180305125243PS","E21",37.34098,-121.80537,"ER","F180649134","E21_F180649134",2018-03-05 12:52:43,5
"6843","20180305125247PS","E21",37.34118,-121.80556,"ER","F180649134","E21_F180649134",2018-03-05 12:52:47,4
"6844","20180305125254PS","E21",37.34182,-121.80612,"ER","F180649134","E21_F180649134",2018-03-05 12:52:54,7
"6845","20180305125300PS","E21",37.34254,-121.80677,"ER","F180649134","E21_F180649134",2018-03-05 12:53:00,6
"6846","20180305125305PS","E21",37.34318,-121.80735,"ER","F180649134","E21_F180649134",2018-03-05 12:53:05,5
"6847","20180305125311PS","E21",37.34399,-121.80806,"ER","F180649134","E21_F180649134",2018-03-05 12:53:11,6
"6848","20180305125316PS","E21",37.34463,-121.80858,"ER","F180649134","E21_F180649134",2018-03-05 12:53:16,5
"6849","20180305125322PS","E21",37.3453,-121.80922,"ER","F180649134","E21_F180649134",2018-03-05 12:53:22,6
"6850","20180305125328PS","E21",37.34593,-121.80982,"ER","F180649134","E21_F180649134",2018-03-05 12:53:28,6
"6851","20180305125333PS","E21",37.34656,-121.81037,"ER","F180649134","E21_F180649134",2018-03-05 12:53:33,5
"6852","20180305125339PS","E21",37.34736,-121.81112,"ER","F180649134","E21_F180649134",2018-03-05 12:53:39,6
"6853","20180305125345PS","E21",37.34821,-121.81189,"ER","F180649134","E21_F180649134",2018-03-05 12:53:45,6
"6854","20180305125351PS","E21",37.34907,-121.81266,"ER","F180649134","E21_F180649134",2018-03-05 12:53:51,6
"6855","20180305125357PS","E21",37.34988,-121.81342,"ER","F180649134","E21_F180649134",2018-03-05 12:53:57,6
"6856","20180305125403PS","E21",37.35058,-121.81409,"ER","F180649134","E21_F180649134",2018-03-05 12:54:03,6
"6857","20180305125407PS","E21",37.35092,-121.81435,"ER","F180649134","E21_F180649134",2018-03-05 12:54:07,4
"6858","20180305125413PS","E21",37.35151,-121.81487,"ER","F180649134","E21_F180649134",2018-03-05 12:54:13,6
"6859","20180305125418PS","E21",37.35214,-121.81544,"ER","F180649134","E21_F180649134",2018-03-05 12:54:18,5
"6860","20180305125422PS","E21",37.3527,-121.81595,"ER","F180649134","E21_F180649134",2018-03-05 12:54:22,4
"6861","20180305125427PS","E21",37.35327,-121.81647,"ER","F180649134","E21_F180649134",2018-03-05 12:54:27,5
"6862","20180305125430PS","E21",37.35384,-121.817,"ER","F180649134","E21_F180649134",2018-03-05 12:54:30,3
"6863","20180305125434PS","E21",37.3544,-121.8175,"ER","F180649134","E21_F180649134",2018-03-05 12:54:34,4
"6864","20180305125438PS","E21",37.35495,-121.818,"ER","F180649134","E21_F180649134",2018-03-05 12:54:38,4
