datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20190326001850PD,26330,B1,+37.33868,-121.89480,ER,F190859002,2019-03-26,2019-03-26
20190326001855PD,26334,B1,+37.33868,-121.89480,ER,F190859002,2019-03-26,2019-03-26
20190326001859PD,26339,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001904PD,26344,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001909PD,26349,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001914PD,26354,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001920PD,26359,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001925PD,26364,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001929PD,26369,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001934PD,26374,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001939PD,26379,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001944PD,26384,B1,+37.33868,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001949PD,26389,B1,+37.33867,-121.89481,ER,F190859002,2019-03-26,2019-03-26
20190326001954PD,26394,B1,+37.33869,-121.89477,ER,F190859002,2019-03-26,2019-03-26
20190326001959PD,26399,B1,+37.33870,-121.89468,ER,F190859002,2019-03-26,2019-03-26
20190326002005PD,26404,B1,+37.33877,-121.89464,ER,F190859002,2019-03-26,2019-03-26
20190326002009PD,26409,B1,+37.33910,-121.89474,ER,F190859002,2019-03-26,2019-03-26
20190326002013PD,26412,B1,+37.33943,-121.89497,ER,F190859002,2019-03-26,2019-03-26
20190326002015PD,26415,B1,+37.33982,-121.89529,ER,F190859002,2019-03-26,2019-03-26
20190326002018PD,26417,B1,+37.34010,-121.89556,ER,F190859002,2019-03-26,2019-03-26
20190326002020PD,26419,B1,+37.34038,-121.89584,ER,F190859002,2019-03-26,2019-03-26
20190326002021PD,26421,B1,+37.34066,-121.89614,ER,F190859002,2019-03-26,2019-03-26
20190326002023PD,26423,B1,+37.34093,-121.89649,ER,F190859002,2019-03-26,2019-03-26
20190326002025PD,26425,B1,+37.34118,-121.89688,ER,F190859002,2019-03-26,2019-03-26
20190326002027PD,26427,B1,+37.34143,-121.89728,ER,F190859002,2019-03-26,2019-03-26
20190326002030PD,26429,B1,+37.34168,-121.89767,ER,F190859002,2019-03-26,2019-03-26
20190326002032PD,26431,B1,+37.34191,-121.89805,ER,F190859002,2019-03-26,2019-03-26
20190326002033PD,26433,B1,+37.34211,-121.89842,ER,F190859002,2019-03-26,2019-03-26
20190326002035PD,26435,B1,+37.34226,-121.89880,ER,F190859002,2019-03-26,2019-03-26
20190326002037PD,26437,B1,+37.34234,-121.89919,ER,F190859002,2019-03-26,2019-03-26
20190326002040PD,26440,B1,+37.34234,-121.89975,ER,F190859002,2019-03-26,2019-03-26
20190326002044PD,26443,B1,+37.34226,-121.90015,ER,F190859002,2019-03-26,2019-03-26
20190326002047PD,26447,B1,+37.34228,-121.90044,ER,F190859002,2019-03-26,2019-03-26
20190326002052PD,26451,B1,+37.34259,-121.90063,ER,F190859002,2019-03-26,2019-03-26
20190326002054PD,26454,B1,+37.34295,-121.90080,ER,F190859002,2019-03-26,2019-03-26
20190326002056PD,26456,B1,+37.34324,-121.90095,ER,F190859002,2019-03-26,2019-03-26
20190326002058PD,26458,B1,+37.34357,-121.90114,ER,F190859002,2019-03-26,2019-03-26
20190326002100PD,26460,B1,+37.34394,-121.90134,ER,F190859002,2019-03-26,2019-03-26
20190326002102PD,26462,B1,+37.34431,-121.90155,ER,F190859002,2019-03-26,2019-03-26
20190326002105PD,26464,B1,+37.34468,-121.90176,ER,F190859002,2019-03-26,2019-03-26
20190326002107PD,26466,B1,+37.34504,-121.90199,ER,F190859002,2019-03-26,2019-03-26
20190326002108PD,26468,B1,+37.34540,-121.90224,ER,F190859002,2019-03-26,2019-03-26
20190326002110PD,26470,B1,+37.34576,-121.90253,ER,F190859002,2019-03-26,2019-03-26
20190326002112PD,26472,B1,+37.34613,-121.90287,ER,F190859002,2019-03-26,2019-03-26
20190326002114PD,26474,B1,+37.34648,-121.90325,ER,F190859002,2019-03-26,2019-03-26
20190326002116PD,26476,B1,+37.34683,-121.90366,ER,F190859002,2019-03-26,2019-03-26
20190326002118PD,26478,B1,+37.34714,-121.90407,ER,F190859002,2019-03-26,2019-03-26
20190326002120PD,26480,B1,+37.34745,-121.90448,ER,F190859002,2019-03-26,2019-03-26
20190326002122PD,26482,B1,+37.34769,-121.90494,ER,F190859002,2019-03-26,2019-03-26
20190326002125PD,26484,B1,+37.34792,-121.90537,ER,F190859002,2019-03-26,2019-03-26
20190326002127PD,26486,B1,+37.34814,-121.90579,ER,F190859002,2019-03-26,2019-03-26
20190326002128PD,26488,B1,+37.34835,-121.90621,ER,F190859002,2019-03-26,2019-03-26
20190326002130PD,26490,B1,+37.34856,-121.90664,ER,F190859002,2019-03-26,2019-03-26
20190326002132PD,26492,B1,+37.34877,-121.90707,ER,F190859002,2019-03-26,2019-03-26
20190326002134PD,26494,B1,+37.34902,-121.90745,ER,F190859002,2019-03-26,2019-03-26
20190326002136PD,26496,B1,+37.34929,-121.90779,ER,F190859002,2019-03-26,2019-03-26
20190326002138PD,26498,B1,+37.34959,-121.90812,ER,F190859002,2019-03-26,2019-03-26
20190326002140PD,26500,B1,+37.34989,-121.90840,ER,F190859002,2019-03-26,2019-03-26
20190326002143PD,26502,B1,+37.35016,-121.90862,ER,F190859002,2019-03-26,2019-03-26
20190326002145PD,26505,B1,+37.35045,-121.90882,ER,F190859002,2019-03-26,2019-03-26
20190326002149PD,26509,B1,+37.35065,-121.90888,ER,F190859002,2019-03-26,2019-03-26
20190326002154PD,26514,B1,+37.35092,-121.90850,ER,F190859002,2019-03-26,2019-03-26
20190326002157PD,26517,B1,+37.35112,-121.90806,ER,F190859002,2019-03-26,2019-03-26
20190326002200PD,26519,B1,+37.35128,-121.90771,ER,F190859002,2019-03-26,2019-03-26
20190326002202PD,26521,B1,+37.35146,-121.90732,ER,F190859002,2019-03-26,2019-03-26
20190326002203PD,26523,B1,+37.35165,-121.90692,ER,F190859002,2019-03-26,2019-03-26
20190326002205PD,26525,B1,+37.35185,-121.90654,ER,F190859002,2019-03-26,2019-03-26
20190326002207PD,26527,B1,+37.35200,-121.90618,ER,F190859002,2019-03-26,2019-03-26
20190326002210PD,26530,B1,+37.35218,-121.90573,ER,F190859002,2019-03-26,2019-03-26
20190326002213PD,26533,B1,+37.35243,-121.90525,ER,F190859002,2019-03-26,2019-03-26
20190326002215PD,26535,B1,+37.35263,-121.90490,ER,F190859002,2019-03-26,2019-03-26
