datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20181117053543PS,48943,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053547PS,48947,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053552PS,48952,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053557PS,48957,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053602PS,48962,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053607PS,48967,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053612PS,48972,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053617PS,48977,B1,+37.33864,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053622PS,48982,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053627PS,48987,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053632PS,48992,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053637PS,48997,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053642PS,49002,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053647PS,49007,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053652PS,49012,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053657PS,49017,B1,+37.33863,-121.89470,ER,F183219059,2018-11-17,2018-11-17
20181117053702PS,49022,B1,+37.33863,-121.89471,ER,F183219059,2018-11-17,2018-11-17
20181117053707PS,49027,B1,+37.33864,-121.89465,ER,F183219059,2018-11-17,2018-11-17
20181117053712PS,49032,B1,+37.33866,-121.89462,ER,F183219059,2018-11-17,2018-11-17
20181117053717PS,49037,B1,+37.33869,-121.89451,ER,F183219059,2018-11-17,2018-11-17
20181117053722PS,49042,B1,+37.33854,-121.89436,ER,F183219059,2018-11-17,2018-11-17
20181117053727PS,49047,B1,+37.33828,-121.89437,ER,F183219059,2018-11-17,2018-11-17
20181117053731PS,49051,B1,+37.33807,-121.89480,ER,F183219059,2018-11-17,2018-11-17
20181117053734PS,49054,B1,+37.33788,-121.89521,ER,F183219059,2018-11-17,2018-11-17
20181117053737PS,49057,B1,+37.33770,-121.89565,ER,F183219059,2018-11-17,2018-11-17
20181117053740PS,49060,B1,+37.33754,-121.89609,ER,F183219059,2018-11-17,2018-11-17
20181117053743PS,49063,B1,+37.33745,-121.89656,ER,F183219059,2018-11-17,2018-11-17
20181117053746PS,49066,B1,+37.33734,-121.89700,ER,F183219059,2018-11-17,2018-11-17
20181117053749PS,49069,B1,+37.33715,-121.89749,ER,F183219059,2018-11-17,2018-11-17
20181117053752PS,49072,B1,+37.33696,-121.89800,ER,F183219059,2018-11-17,2018-11-17
20181117053755PS,49075,B1,+37.33689,-121.89849,ER,F183219059,2018-11-17,2018-11-17
20181117053758PS,49078,B1,+37.33706,-121.89882,ER,F183219059,2018-11-17,2018-11-17
20181117053801PS,49081,B1,+37.33738,-121.89879,ER,F183219059,2018-11-17,2018-11-17
20181117053804PS,49084,B1,+37.33751,-121.89840,ER,F183219059,2018-11-17,2018-11-17
20181117053807PS,49087,B1,+37.33728,-121.89805,ER,F183219059,2018-11-17,2018-11-17
20181117053810PS,49090,B1,+37.33686,-121.89786,ER,F183219059,2018-11-17,2018-11-17
20181117053812PS,49092,B1,+37.33652,-121.89774,ER,F183219059,2018-11-17,2018-11-17
20181117053815PS,49094,B1,+37.33612,-121.89764,ER,F183219059,2018-11-17,2018-11-17
20181117053816PS,49096,B1,+37.33569,-121.89755,ER,F183219059,2018-11-17,2018-11-17
20181117053818PS,49098,B1,+37.33523,-121.89747,ER,F183219059,2018-11-17,2018-11-17
20181117053820PS,49100,B1,+37.33475,-121.89739,ER,F183219059,2018-11-17,2018-11-17
20181117053822PS,49102,B1,+37.33423,-121.89730,ER,F183219059,2018-11-17,2018-11-17
20181117053824PS,49104,B1,+37.33371,-121.89721,ER,F183219059,2018-11-17,2018-11-17
20181117053826PS,49106,B1,+37.33318,-121.89710,ER,F183219059,2018-11-17,2018-11-17
20181117053828PS,49108,B1,+37.33263,-121.89700,ER,F183219059,2018-11-17,2018-11-17
20181117053830PS,49110,B1,+37.33207,-121.89690,ER,F183219059,2018-11-17,2018-11-17
20181117053832PS,49112,B1,+37.33150,-121.89680,ER,F183219059,2018-11-17,2018-11-17
20181117053834PS,49114,B1,+37.33094,-121.89667,ER,F183219059,2018-11-17,2018-11-17
20181117053836PS,49116,B1,+37.33038,-121.89652,ER,F183219059,2018-11-17,2018-11-17
20181117053838PS,49118,B1,+37.32984,-121.89631,ER,F183219059,2018-11-17,2018-11-17
20181117053840PS,49120,B1,+37.32932,-121.89605,ER,F183219059,2018-11-17,2018-11-17
20181117053842PS,49122,B1,+37.32880,-121.89576,ER,F183219059,2018-11-17,2018-11-17
20181117053844PS,49124,B1,+37.32830,-121.89545,ER,F183219059,2018-11-17,2018-11-17
20181117053846PS,49126,B1,+37.32781,-121.89513,ER,F183219059,2018-11-17,2018-11-17
20181117053848PS,49128,B1,+37.32732,-121.89479,ER,F183219059,2018-11-17,2018-11-17
20181117053850PS,49130,B1,+37.32683,-121.89444,ER,F183219059,2018-11-17,2018-11-17
20181117053852PS,49132,B1,+37.32634,-121.89410,ER,F183219059,2018-11-17,2018-11-17
20181117053854PS,49134,B1,+37.32584,-121.89377,ER,F183219059,2018-11-17,2018-11-17
20181117053856PS,49136,B1,+37.32534,-121.89343,ER,F183219059,2018-11-17,2018-11-17
20181117053858PS,49138,B1,+37.32484,-121.89310,ER,F183219059,2018-11-17,2018-11-17
20181117053900PS,49140,B1,+37.32434,-121.89276,ER,F183219059,2018-11-17,2018-11-17
20181117053902PS,49142,B1,+37.32383,-121.89242,ER,F183219059,2018-11-17,2018-11-17
20181117053904PS,49144,B1,+37.32333,-121.89208,ER,F183219059,2018-11-17,2018-11-17
20181117053906PS,49146,B1,+37.32282,-121.89174,ER,F183219059,2018-11-17,2018-11-17
20181117053908PS,49148,B1,+37.32232,-121.89141,ER,F183219059,2018-11-17,2018-11-17
20181117053910PS,49150,B1,+37.32182,-121.89109,ER,F183219059,2018-11-17,2018-11-17
