datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180528003413PD,27253,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003417PD,27257,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003422PD,27262,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003428PD,27267,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003432PD,27272,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003437PD,27277,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003442PD,27282,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003447PD,27287,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003452PD,27292,B1,+37.33876,-121.89487,ER,F181489003,2018-05-28,2018-05-28
20180528003457PD,27297,B1,+37.33876,-121.89485,ER,F181489003,2018-05-28,2018-05-28
20180528003503PD,27302,B1,+37.33879,-121.89478,ER,F181489003,2018-05-28,2018-05-28
20180528003507PD,27307,B1,+37.33892,-121.89470,ER,F181489003,2018-05-28,2018-05-28
20180528003512PD,27312,B1,+37.33920,-121.89483,ER,F181489003,2018-05-28,2018-05-28
20180528003516PD,27316,B1,+37.33954,-121.89509,ER,F181489003,2018-05-28,2018-05-28
20180528003520PD,27320,B1,+37.33989,-121.89538,ER,F181489003,2018-05-28,2018-05-28
20180528003523PD,27323,B1,+37.34016,-121.89565,ER,F181489003,2018-05-28,2018-05-28
20180528003526PD,27326,B1,+37.34045,-121.89594,ER,F181489003,2018-05-28,2018-05-28
20180528003530PD,27329,B1,+37.34073,-121.89626,ER,F181489003,2018-05-28,2018-05-28
20180528003532PD,27332,B1,+37.34099,-121.89663,ER,F181489003,2018-05-28,2018-05-28
20180528003535PD,27335,B1,+37.34124,-121.89703,ER,F181489003,2018-05-28,2018-05-28
20180528003538PD,27338,B1,+37.34150,-121.89744,ER,F181489003,2018-05-28,2018-05-28
20180528003541PD,27341,B1,+37.34178,-121.89788,ER,F181489003,2018-05-28,2018-05-28
20180528003544PD,27344,B1,+37.34205,-121.89834,ER,F181489003,2018-05-28,2018-05-28
20180528003547PD,27347,B1,+37.34225,-121.89885,ER,F181489003,2018-05-28,2018-05-28
20180528003550PD,27350,B1,+37.34231,-121.89943,ER,F181489003,2018-05-28,2018-05-28
20180528003552PD,27352,B1,+37.34227,-121.89984,ER,F181489003,2018-05-28,2018-05-28
20180528003555PD,27354,B1,+37.34217,-121.90025,ER,F181489003,2018-05-28,2018-05-28
20180528003556PD,27356,B1,+37.34202,-121.90064,ER,F181489003,2018-05-28,2018-05-28
20180528003558PD,27358,B1,+37.34187,-121.90104,ER,F181489003,2018-05-28,2018-05-28
20180528003600PD,27360,B1,+37.34171,-121.90143,ER,F181489003,2018-05-28,2018-05-28
20180528003603PD,27362,B1,+37.34157,-121.90182,ER,F181489003,2018-05-28,2018-05-28
20180528003605PD,27364,B1,+37.34144,-121.90220,ER,F181489003,2018-05-28,2018-05-28
20180528003607PD,27367,B1,+37.34126,-121.90274,ER,F181489003,2018-05-28,2018-05-28
20180528003610PD,27370,B1,+37.34111,-121.90327,ER,F181489003,2018-05-28,2018-05-28
20180528003613PD,27373,B1,+37.34098,-121.90381,ER,F181489003,2018-05-28,2018-05-28
20180528003618PD,27376,B1,+37.34089,-121.90434,ER,F181489003,2018-05-28,2018-05-28
20180528003620PD,27379,B1,+37.34083,-121.90487,ER,F181489003,2018-05-28,2018-05-28
20180528003622PD,27382,B1,+37.34079,-121.90538,ER,F181489003,2018-05-28,2018-05-28
20180528003625PD,27385,B1,+37.34080,-121.90589,ER,F181489003,2018-05-28,2018-05-28
20180528003628PD,27388,B1,+37.34082,-121.90641,ER,F181489003,2018-05-28,2018-05-28
20180528003631PD,27391,B1,+37.34088,-121.90695,ER,F181489003,2018-05-28,2018-05-28
20180528003634PD,27394,B1,+37.34097,-121.90750,ER,F181489003,2018-05-28,2018-05-28
20180528003637PD,27397,B1,+37.34109,-121.90806,ER,F181489003,2018-05-28,2018-05-28
20180528003640PD,27400,B1,+37.34120,-121.90859,ER,F181489003,2018-05-28,2018-05-28
20180528003643PD,27403,B1,+37.34132,-121.90910,ER,F181489003,2018-05-28,2018-05-28
20180528003646PD,27406,B1,+37.34147,-121.90959,ER,F181489003,2018-05-28,2018-05-28
20180528003649PD,27409,B1,+37.34169,-121.91004,ER,F181489003,2018-05-28,2018-05-28
20180528003652PD,27412,B1,+37.34196,-121.91043,ER,F181489003,2018-05-28,2018-05-28
20180528003655PD,27415,B1,+37.34221,-121.91072,ER,F181489003,2018-05-28,2018-05-28
20180528003659PD,27419,B1,+37.34235,-121.91105,ER,F181489003,2018-05-28,2018-05-28
20180528003703PD,27423,B1,+37.34219,-121.91142,ER,F181489003,2018-05-28,2018-05-28
20180528003707PD,27427,B1,+37.34192,-121.91182,ER,F181489003,2018-05-28,2018-05-28
20180528003710PD,27430,B1,+37.34167,-121.91217,ER,F181489003,2018-05-28,2018-05-28
