datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180510081322PD,54802,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081326PD,54806,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081331PD,54811,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081335PD,54815,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081340PD,54820,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081344PD,54824,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081349PD,54829,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081353PD,54833,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081358PD,54838,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081402PD,54842,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081407PD,54847,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081411PD,54851,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081416PD,54856,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081420PD,54860,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081425PD,54865,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081429PD,54869,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081434PD,54874,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081438PD,54878,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081443PD,54883,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081447PD,54887,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081452PD,54892,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081456PD,54896,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081501PD,54901,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081505PD,54905,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081510PD,54910,B1,+37.33869,-121.89472,ER,F181309056,2018-05-10,2018-05-10
20180510081514PD,54914,B1,+37.33870,-121.89470,ER,F181309056,2018-05-10,2018-05-10
20180510081519PD,54919,B1,+37.33874,-121.89464,ER,F181309056,2018-05-10,2018-05-10
20180510081523PD,54923,B1,+37.33874,-121.89464,ER,F181309056,2018-05-10,2018-05-10
20180510081528PD,54928,B1,+37.33874,-121.89463,ER,F181309056,2018-05-10,2018-05-10
20180510081532PD,54932,B1,+37.33875,-121.89462,ER,F181309056,2018-05-10,2018-05-10
20180510081537PD,54937,B1,+37.33873,-121.89458,ER,F181309056,2018-05-10,2018-05-10
20180510081541PD,54941,B1,+37.33859,-121.89444,ER,F181309056,2018-05-10,2018-05-10
20180510081546PD,54946,B1,+37.33840,-121.89436,ER,F181309056,2018-05-10,2018-05-10
20180510081550PD,54950,B1,+37.33822,-121.89458,ER,F181309056,2018-05-10,2018-05-10
20180510081556PD,54956,B1,+37.33788,-121.89531,ER,F181309056,2018-05-10,2018-05-10
20180510081602PD,54962,B1,+37.33757,-121.89616,ER,F181309056,2018-05-10,2018-05-10
20180510081608PD,54968,B1,+37.33733,-121.89717,ER,F181309056,2018-05-10,2018-05-10
20180510081614PD,54974,B1,+37.33695,-121.89812,ER,F181309056,2018-05-10,2018-05-10
20180510081621PD,54981,B1,+37.33710,-121.89886,ER,F181309056,2018-05-10,2018-05-10
20180510081626PD,54985,B1,+37.33748,-121.89872,ER,F181309056,2018-05-10,2018-05-10
20180510081632PD,54992,B1,+37.33718,-121.89797,ER,F181309056,2018-05-10,2018-05-10
20180510081637PD,54997,B1,+37.33641,-121.89769,ER,F181309056,2018-05-10,2018-05-10
20180510081643PD,55003,B1,+37.33522,-121.89745,ER,F181309056,2018-05-10,2018-05-10
20180510081649PD,55009,B1,+37.33384,-121.89722,ER,F181309056,2018-05-10,2018-05-10
20180510081655PD,55015,B1,+37.33234,-121.89693,ER,F181309056,2018-05-10,2018-05-10
20180510081701PD,55021,B1,+37.33086,-121.89665,ER,F181309056,2018-05-10,2018-05-10
20180510081707PD,55027,B1,+37.32940,-121.89608,ER,F181309056,2018-05-10,2018-05-10
20180510081713PD,55033,B1,+37.32802,-121.89526,ER,F181309056,2018-05-10,2018-05-10
20180510081719PD,55039,B1,+37.32671,-121.89439,ER,F181309056,2018-05-10,2018-05-10
20180510081725PD,55045,B1,+37.32541,-121.89352,ER,F181309056,2018-05-10,2018-05-10
20180510081731PD,55051,B1,+37.32414,-121.89267,ER,F181309056,2018-05-10,2018-05-10
20180510081737PD,55057,B1,+37.32285,-121.89176,ER,F181309056,2018-05-10,2018-05-10
20180510081743PD,55063,B1,+37.32142,-121.89083,ER,F181309056,2018-05-10,2018-05-10
20180510081749PD,55069,B1,+37.31989,-121.89025,ER,F181309056,2018-05-10,2018-05-10
20180510081755PD,55075,B1,+37.31832,-121.88983,ER,F181309056,2018-05-10,2018-05-10
20180510081801PD,55081,B1,+37.31685,-121.88928,ER,F181309056,2018-05-10,2018-05-10
20180510081807PD,55087,B1,+37.31553,-121.88841,ER,F181309056,2018-05-10,2018-05-10
20180510081813PD,55093,B1,+37.31429,-121.88723,ER,F181309056,2018-05-10,2018-05-10
20180510081819PD,55099,B1,+37.31302,-121.88596,ER,F181309056,2018-05-10,2018-05-10
20180510081826PD,55105,B1,+37.31168,-121.88479,ER,F181309056,2018-05-10,2018-05-10
20180510081831PD,55111,B1,+37.31026,-121.88368,ER,F181309056,2018-05-10,2018-05-10
20180510081837PD,55117,B1,+37.30882,-121.88255,ER,F181309056,2018-05-10,2018-05-10
20180510081843PD,55123,B1,+37.30739,-121.88143,ER,F181309056,2018-05-10,2018-05-10
