datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20181130140215PS,79335,B1,+37.33172,-121.91234,ER,F183349158,2018-11-30,2018-11-30
20181130140219PS,79339,B1,+37.33159,-121.91219,ER,F183349158,2018-11-30,2018-11-30
20181130140225PS,79344,B1,+37.33142,-121.91179,ER,F183349158,2018-11-30,2018-11-30
20181130140228PS,79348,B1,+37.33141,-121.91130,ER,F183349158,2018-11-30,2018-11-30
20181130140231PS,79351,B1,+37.33144,-121.91088,ER,F183349158,2018-11-30,2018-11-30
20181130140234PS,79354,B1,+37.33146,-121.91043,ER,F183349158,2018-11-30,2018-11-30
20181130140238PS,79357,B1,+37.33149,-121.90995,ER,F183349158,2018-11-30,2018-11-30
20181130140240PS,79360,B1,+37.33152,-121.90946,ER,F183349158,2018-11-30,2018-11-30
20181130140243PS,79363,B1,+37.33154,-121.90895,ER,F183349158,2018-11-30,2018-11-30
20181130140246PS,79366,B1,+37.33157,-121.90845,ER,F183349158,2018-11-30,2018-11-30
20181130140249PS,79369,B1,+37.33159,-121.90794,ER,F183349158,2018-11-30,2018-11-30
20181130140252PS,79372,B1,+37.33162,-121.90742,ER,F183349158,2018-11-30,2018-11-30
20181130140255PS,79375,B1,+37.33164,-121.90689,ER,F183349158,2018-11-30,2018-11-30
20181130140258PS,79378,B1,+37.33167,-121.90636,ER,F183349158,2018-11-30,2018-11-30
20181130140301PS,79381,B1,+37.33169,-121.90583,ER,F183349158,2018-11-30,2018-11-30
20181130140305PS,79384,B1,+37.33172,-121.90531,ER,F183349158,2018-11-30,2018-11-30
20181130140307PS,79387,B1,+37.33174,-121.90478,ER,F183349158,2018-11-30,2018-11-30
20181130140310PS,79390,B1,+37.33177,-121.90425,ER,F183349158,2018-11-30,2018-11-30
20181130140313PS,79393,B1,+37.33179,-121.90373,ER,F183349158,2018-11-30,2018-11-30
20181130140316PS,79396,B1,+37.33182,-121.90318,ER,F183349158,2018-11-30,2018-11-30
20181130140319PS,79399,B1,+37.33186,-121.90267,ER,F183349158,2018-11-30,2018-11-30
20181130140322PS,79402,B1,+37.33187,-121.90221,ER,F183349158,2018-11-30,2018-11-30
20181130140325PS,79405,B1,+37.33188,-121.90177,ER,F183349158,2018-11-30,2018-11-30
20181130140329PS,79409,B1,+37.33188,-121.90139,ER,F183349158,2018-11-30,2018-11-30
20181130140334PS,79414,B1,+37.33175,-121.90121,ER,F183349158,2018-11-30,2018-11-30
20181130140338PS,79418,B1,+37.33138,-121.90118,ER,F183349158,2018-11-30,2018-11-30
20181130140341PS,79421,B1,+37.33100,-121.90115,ER,F183349158,2018-11-30,2018-11-30
20181130140344PS,79424,B1,+37.33060,-121.90113,ER,F183349158,2018-11-30,2018-11-30
20181130140348PS,79427,B1,+37.33020,-121.90110,ER,F183349158,2018-11-30,2018-11-30
20181130140350PS,79430,B1,+37.32982,-121.90108,ER,F183349158,2018-11-30,2018-11-30
