datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180711131724PD,73044,B1,+37.33872,-121.89482,ER,F181929152,2018-07-11,2018-07-11
20180711131729PD,73049,B1,+37.33872,-121.89481,ER,F181929152,2018-07-11,2018-07-11
20180711131734PD,73054,B1,+37.33870,-121.89476,ER,F181929152,2018-07-11,2018-07-11
20180711131739PD,73059,B1,+37.33871,-121.89467,ER,F181929152,2018-07-11,2018-07-11
20180711131744PD,73064,B1,+37.33854,-121.89439,ER,F181929152,2018-07-11,2018-07-11
20180711131750PD,73069,B1,+37.33817,-121.89424,ER,F181929152,2018-07-11,2018-07-11
20180711131752PD,73072,B1,+37.33785,-121.89399,ER,F181929152,2018-07-11,2018-07-11
20180711131755PD,73075,B1,+37.33750,-121.89371,ER,F181929152,2018-07-11,2018-07-11
20180711131758PD,73078,B1,+37.33713,-121.89340,ER,F181929152,2018-07-11,2018-07-11
20180711131800PD,73080,B1,+37.33685,-121.89316,ER,F181929152,2018-07-11,2018-07-11
20180711131802PD,73082,B1,+37.33654,-121.89291,ER,F181929152,2018-07-11,2018-07-11
20180711131804PD,73084,B1,+37.33620,-121.89265,ER,F181929152,2018-07-11,2018-07-11
20180711131806PD,73086,B1,+37.33584,-121.89237,ER,F181929152,2018-07-11,2018-07-11
20180711131808PD,73088,B1,+37.33552,-121.89209,ER,F181929152,2018-07-11,2018-07-11
20180711131810PD,73090,B1,+37.33520,-121.89182,ER,F181929152,2018-07-11,2018-07-11
20180711131812PD,73092,B1,+37.33489,-121.89160,ER,F181929152,2018-07-11,2018-07-11
20180711131815PD,73095,B1,+37.33451,-121.89134,ER,F181929152,2018-07-11,2018-07-11
20180711131817PD,73097,B1,+37.33423,-121.89114,ER,F181929152,2018-07-11,2018-07-11
20180711131819PD,73099,B1,+37.33394,-121.89092,ER,F181929152,2018-07-11,2018-07-11
20180711131823PD,73103,B1,+37.33366,-121.89072,ER,F181929152,2018-07-11,2018-07-11
20180711131827PD,73107,B1,+37.33350,-121.89062,ER,F181929152,2018-07-11,2018-07-11
20180711131830PD,73110,B1,+37.33316,-121.89052,ER,F181929152,2018-07-11,2018-07-11
20180711131833PD,73113,B1,+37.33272,-121.89043,ER,F181929152,2018-07-11,2018-07-11
20180711131835PD,73115,B1,+37.33243,-121.89026,ER,F181929152,2018-07-11,2018-07-11
20180711131837PD,73117,B1,+37.33210,-121.89003,ER,F181929152,2018-07-11,2018-07-11
20180711131839PD,73119,B1,+37.33176,-121.88978,ER,F181929152,2018-07-11,2018-07-11
20180711131841PD,73121,B1,+37.33145,-121.88952,ER,F181929152,2018-07-11,2018-07-11
20180711131843PD,73123,B1,+37.33122,-121.88920,ER,F181929152,2018-07-11,2018-07-11
20180711131846PD,73126,B1,+37.33100,-121.88874,ER,F181929152,2018-07-11,2018-07-11
20180711131850PD,73130,B1,+37.33082,-121.88843,ER,F181929152,2018-07-11,2018-07-11
20180711131853PD,73133,B1,+37.33059,-121.88812,ER,F181929152,2018-07-11,2018-07-11
20180711131855PD,73135,B1,+37.33037,-121.88783,ER,F181929152,2018-07-11,2018-07-11
20180711131858PD,73137,B1,+37.33012,-121.88748,ER,F181929152,2018-07-11,2018-07-11
20180711131859PD,73139,B1,+37.32982,-121.88712,ER,F181929152,2018-07-11,2018-07-11
20180711131901PD,73141,B1,+37.32948,-121.88674,ER,F181929152,2018-07-11,2018-07-11
20180711131903PD,73143,B1,+37.32915,-121.88634,ER,F181929152,2018-07-11,2018-07-11
20180711131905PD,73145,B1,+37.32881,-121.88591,ER,F181929152,2018-07-11,2018-07-11
20180711131907PD,73147,B1,+37.32847,-121.88547,ER,F181929152,2018-07-11,2018-07-11
20180711131909PD,73149,B1,+37.32811,-121.88502,ER,F181929152,2018-07-11,2018-07-11
20180711131911PD,73151,B1,+37.32776,-121.88459,ER,F181929152,2018-07-11,2018-07-11
20180711131913PD,73153,B1,+37.32745,-121.88423,ER,F181929152,2018-07-11,2018-07-11
20180711131915PD,73155,B1,+37.32719,-121.88393,ER,F181929152,2018-07-11,2018-07-11
20180711131920PD,73158,B1,+37.32678,-121.88363,ER,F181929152,2018-07-11,2018-07-11
20180711131921PD,73160,B1,+37.32649,-121.88342,ER,F181929152,2018-07-11,2018-07-11
20180711131923PD,73162,B1,+37.32619,-121.88317,ER,F181929152,2018-07-11,2018-07-11
20180711131924PD,73164,B1,+37.32586,-121.88291,ER,F181929152,2018-07-11,2018-07-11
20180711131926PD,73166,B1,+37.32549,-121.88264,ER,F181929152,2018-07-11,2018-07-11
20180711131928PD,73168,B1,+37.32512,-121.88237,ER,F181929152,2018-07-11,2018-07-11
20180711131930PD,73170,B1,+37.32475,-121.88210,ER,F181929152,2018-07-11,2018-07-11
20180711131932PD,73172,B1,+37.32439,-121.88184,ER,F181929152,2018-07-11,2018-07-11
20180711131934PD,73174,B1,+37.32404,-121.88158,ER,F181929152,2018-07-11,2018-07-11
20180711131936PD,73176,B1,+37.32371,-121.88131,ER,F181929152,2018-07-11,2018-07-11
20180711131938PD,73178,B1,+37.32339,-121.88101,ER,F181929152,2018-07-11,2018-07-11
20180711131940PD,73180,B1,+37.32306,-121.88069,ER,F181929152,2018-07-11,2018-07-11
20180711131943PD,73182,B1,+37.32275,-121.88037,ER,F181929152,2018-07-11,2018-07-11
20180711131944PD,73184,B1,+37.32242,-121.88005,ER,F181929152,2018-07-11,2018-07-11
20180711131946PD,73186,B1,+37.32210,-121.87973,ER,F181929152,2018-07-11,2018-07-11
