datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180322010147PD,28907,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010151PD,28911,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010156PD,28916,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010200PD,28920,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010205PD,28925,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010209PD,28929,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010214PD,28934,B1,+37.33884,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010218PD,28938,B1,+37.33885,-121.89481,ER,F180819013,2018-03-22,2018-03-22
20180322010223PD,28943,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010228PD,28948,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010232PD,28952,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010237PD,28957,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010241PD,28961,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010246PD,28966,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010250PD,28970,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010255PD,28975,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010304PD,28984,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010308PD,28988,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010313PD,28993,B1,+37.33885,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010317PD,28997,B1,+37.33886,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010322PD,29002,B1,+37.33886,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010326PD,29006,B1,+37.33886,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010331PD,29011,B1,+37.33886,-121.89480,ER,F180819013,2018-03-22,2018-03-22
20180322010335PD,29015,B1,+37.33886,-121.89479,ER,F180819013,2018-03-22,2018-03-22
20180322010340PD,29020,B1,+37.33884,-121.89474,ER,F180819013,2018-03-22,2018-03-22
20180322010344PD,29024,B1,+37.33883,-121.89469,ER,F180819013,2018-03-22,2018-03-22
20180322010349PD,29029,B1,+37.33882,-121.89468,ER,F180819013,2018-03-22,2018-03-22
20180322010353PD,29033,B1,+37.33883,-121.89460,ER,F180819013,2018-03-22,2018-03-22
20180322010358PD,29038,B1,+37.33862,-121.89444,ER,F180819013,2018-03-22,2018-03-22
20180322010402PD,29042,B1,+37.33840,-121.89440,ER,F180819013,2018-03-22,2018-03-22
20180322010410PD,29050,B1,+37.33804,-121.89505,ER,F180819013,2018-03-22,2018-03-22
20180322010417PD,29057,B1,+37.33767,-121.89587,ER,F180819013,2018-03-22,2018-03-22
20180322010424PD,29064,B1,+37.33748,-121.89677,ER,F180819013,2018-03-22,2018-03-22
20180322010430PD,29070,B1,+37.33718,-121.89757,ER,F180819013,2018-03-22,2018-03-22
20180322010436PD,29076,B1,+37.33690,-121.89843,ER,F180819013,2018-03-22,2018-03-22
20180322010440PD,29080,B1,+37.33713,-121.89882,ER,F180819013,2018-03-22,2018-03-22
20180322010444PD,29084,B1,+37.33748,-121.89867,ER,F180819013,2018-03-22,2018-03-22
20180322010451PD,29091,B1,+37.33716,-121.89798,ER,F180819013,2018-03-22,2018-03-22
20180322010456PD,29096,B1,+37.33643,-121.89772,ER,F180819013,2018-03-22,2018-03-22
20180322010502PD,29102,B1,+37.33530,-121.89748,ER,F180819013,2018-03-22,2018-03-22
20180322010508PD,29108,B1,+37.33399,-121.89726,ER,F180819013,2018-03-22,2018-03-22
20180322010514PD,29114,B1,+37.33263,-121.89702,ER,F180819013,2018-03-22,2018-03-22
20180322010520PD,29120,B1,+37.33122,-121.89674,ER,F180819013,2018-03-22,2018-03-22
20180322010524PD,29124,B1,+37.33029,-121.89649,ER,F180819013,2018-03-22,2018-03-22
20180322010528PD,29128,B1,+37.32940,-121.89610,ER,F180819013,2018-03-22,2018-03-22
20180322010534PD,29134,B1,+37.32815,-121.89542,ER,F180819013,2018-03-22,2018-03-22
20180322010540PD,29140,B1,+37.32690,-121.89468,ER,F180819013,2018-03-22,2018-03-22
20180322010546PD,29146,B1,+37.32559,-121.89419,ER,F180819013,2018-03-22,2018-03-22
20180322010552PD,29152,B1,+37.32429,-121.89396,ER,F180819013,2018-03-22,2018-03-22
20180322010558PD,29158,B1,+37.32333,-121.89290,ER,F180819013,2018-03-22,2018-03-22
20180322010604PD,29164,B1,+37.32325,-121.89124,ER,F180819013,2018-03-22,2018-03-22
20180322010608PD,29168,B1,+37.32364,-121.89020,ER,F180819013,2018-03-22,2018-03-22
20180322010614PD,29174,B1,+37.32432,-121.88847,ER,F180819013,2018-03-22,2018-03-22
20180322010620PD,29180,B1,+37.32479,-121.88657,ER,F180819013,2018-03-22,2018-03-22
20180322010624PD,29184,B1,+37.32513,-121.88531,ER,F180819013,2018-03-22,2018-03-22
20180322010630PD,29190,B1,+37.32579,-121.88354,ER,F180819013,2018-03-22,2018-03-22
20180322010636PD,29196,B1,+37.32657,-121.88189,ER,F180819013,2018-03-22,2018-03-22
20180322010642PD,29202,B1,+37.32719,-121.88014,ER,F180819013,2018-03-22,2018-03-22
20180322010648PD,29208,B1,+37.32750,-121.87819,ER,F180819013,2018-03-22,2018-03-22
20180322010652PD,29212,B1,+37.32762,-121.87685,ER,F180819013,2018-03-22,2018-03-22
20180322010658PD,29218,B1,+37.32779,-121.87487,ER,F180819013,2018-03-22,2018-03-22
