datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20181116012133PS,33693,B1,+37.33878,-121.89473,ER,F183209010,2018-11-16,2018-11-16
20181116012137PS,33697,B1,+37.33878,-121.89475,ER,F183209010,2018-11-16,2018-11-16
20181116012142PS,33702,B1,+37.33878,-121.89475,ER,F183209010,2018-11-16,2018-11-16
20181116012147PS,33707,B1,+37.33878,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012152PS,33712,B1,+37.33878,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012157PS,33717,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012202PS,33722,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012207PS,33727,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012212PS,33732,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012217PS,33737,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012222PS,33742,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012227PS,33747,B1,+37.33879,-121.89474,ER,F183209010,2018-11-16,2018-11-16
20181116012232PS,33752,B1,+37.33878,-121.89475,ER,F183209010,2018-11-16,2018-11-16
20181116012237PS,33757,B1,+37.33878,-121.89473,ER,F183209010,2018-11-16,2018-11-16
20181116012242PS,33762,B1,+37.33879,-121.89469,ER,F183209010,2018-11-16,2018-11-16
20181116012247PS,33767,B1,+37.33879,-121.89467,ER,F183209010,2018-11-16,2018-11-16
20181116012252PS,33772,B1,+37.33878,-121.89455,ER,F183209010,2018-11-16,2018-11-16
20181116012257PS,33777,B1,+37.33861,-121.89442,ER,F183209010,2018-11-16,2018-11-16
20181116012302PS,33782,B1,+37.33841,-121.89440,ER,F183209010,2018-11-16,2018-11-16
20181116012307PS,33787,B1,+37.33820,-121.89468,ER,F183209010,2018-11-16,2018-11-16
20181116012311PS,33791,B1,+37.33804,-121.89504,ER,F183209010,2018-11-16,2018-11-16
20181116012315PS,33795,B1,+37.33786,-121.89544,ER,F183209010,2018-11-16,2018-11-16
20181116012319PS,33799,B1,+37.33764,-121.89587,ER,F183209010,2018-11-16,2018-11-16
20181116012323PS,33803,B1,+37.33752,-121.89636,ER,F183209010,2018-11-16,2018-11-16
20181116012327PS,33806,B1,+37.33744,-121.89677,ER,F183209010,2018-11-16,2018-11-16
20181116012329PS,33809,B1,+37.33730,-121.89719,ER,F183209010,2018-11-16,2018-11-16
20181116012332PS,33812,B1,+37.33711,-121.89760,ER,F183209010,2018-11-16,2018-11-16
20181116012335PS,33815,B1,+37.33693,-121.89803,ER,F183209010,2018-11-16,2018-11-16
20181116012338PS,33818,B1,+37.33671,-121.89850,ER,F183209010,2018-11-16,2018-11-16
20181116012341PS,33821,B1,+37.33650,-121.89895,ER,F183209010,2018-11-16,2018-11-16
20181116012344PS,33824,B1,+37.33635,-121.89940,ER,F183209010,2018-11-16,2018-11-16
20181116012347PS,33827,B1,+37.33625,-121.89988,ER,F183209010,2018-11-16,2018-11-16
20181116012350PS,33830,B1,+37.33616,-121.90037,ER,F183209010,2018-11-16,2018-11-16
20181116012353PS,33833,B1,+37.33606,-121.90087,ER,F183209010,2018-11-16,2018-11-16
20181116012356PS,33836,B1,+37.33599,-121.90138,ER,F183209010,2018-11-16,2018-11-16
20181116012359PS,33839,B1,+37.33592,-121.90190,ER,F183209010,2018-11-16,2018-11-16
20181116012402PS,33842,B1,+37.33584,-121.90241,ER,F183209010,2018-11-16,2018-11-16
20181116012405PS,33845,B1,+37.33573,-121.90282,ER,F183209010,2018-11-16,2018-11-16
20181116012409PS,33849,B1,+37.33559,-121.90318,ER,F183209010,2018-11-16,2018-11-16
20181116012414PS,33854,B1,+37.33539,-121.90358,ER,F183209010,2018-11-16,2018-11-16
20181116012418PS,33858,B1,+37.33513,-121.90399,ER,F183209010,2018-11-16,2018-11-16
20181116012421PS,33861,B1,+37.33490,-121.90431,ER,F183209010,2018-11-16,2018-11-16
20181116012424PS,33864,B1,+37.33465,-121.90467,ER,F183209010,2018-11-16,2018-11-16
20181116012427PS,33867,B1,+37.33437,-121.90505,ER,F183209010,2018-11-16,2018-11-16
20181116012430PS,33870,B1,+37.33414,-121.90539,ER,F183209010,2018-11-16,2018-11-16
20181116012434PS,33874,B1,+37.33392,-121.90570,ER,F183209010,2018-11-16,2018-11-16
20181116012438PS,33878,B1,+37.33372,-121.90603,ER,F183209010,2018-11-16,2018-11-16
20181116012442PS,33882,B1,+37.33368,-121.90651,ER,F183209010,2018-11-16,2018-11-16
20181116012445PS,33885,B1,+37.33366,-121.90693,ER,F183209010,2018-11-16,2018-11-16
20181116012448PS,33888,B1,+37.33364,-121.90738,ER,F183209010,2018-11-16,2018-11-16
20181116012451PS,33891,B1,+37.33363,-121.90784,ER,F183209010,2018-11-16,2018-11-16
20181116012455PS,33895,B1,+37.33361,-121.90824,ER,F183209010,2018-11-16,2018-11-16
20181116012459PS,33899,B1,+37.33357,-121.90852,ER,F183209010,2018-11-16,2018-11-16
20181116012504PS,33904,B1,+37.33329,-121.90859,ER,F183209010,2018-11-16,2018-11-16
20181116012508PS,33908,B1,+37.33291,-121.90855,ER,F183209010,2018-11-16,2018-11-16
20181116012512PS,33912,B1,+37.33252,-121.90852,ER,F183209010,2018-11-16,2018-11-16
20181116012516PS,33916,B1,+37.33219,-121.90848,ER,F183209010,2018-11-16,2018-11-16
20181116012521PS,33921,B1,+37.33194,-121.90847,ER,F183209010,2018-11-16,2018-11-16
20181116012526PS,33926,B1,+37.33179,-121.90846,ER,F183209010,2018-11-16,2018-11-16
20181116012531PS,33931,B1,+37.33167,-121.90874,ER,F183209010,2018-11-16,2018-11-16
20181116012535PS,33935,B1,+37.33165,-121.90926,ER,F183209010,2018-11-16,2018-11-16
20181116012538PS,33938,B1,+37.33164,-121.90974,ER,F183209010,2018-11-16,2018-11-16
20181116012541PS,33941,B1,+37.33162,-121.91023,ER,F183209010,2018-11-16,2018-11-16
20181116012544PS,33944,B1,+37.33160,-121.91073,ER,F183209010,2018-11-16,2018-11-16
20181116012547PS,33947,B1,+37.33158,-121.91119,ER,F183209010,2018-11-16,2018-11-16
20181116012551PS,33951,B1,+37.33155,-121.91159,ER,F183209010,2018-11-16,2018-11-16
20181116012556PS,33956,B1,+37.33150,-121.91196,ER,F183209010,2018-11-16,2018-11-16
20181116012600PS,33960,B1,+37.33140,-121.91232,ER,F183209010,2018-11-16,2018-11-16
20181116012604PS,33964,B1,+37.33117,-121.91270,ER,F183209010,2018-11-16,2018-11-16
20181116012608PS,33968,B1,+37.33094,-121.91307,ER,F183209010,2018-11-16,2018-11-16
20181116012612PS,33972,B1,+37.33076,-121.91339,ER,F183209010,2018-11-16,2018-11-16
20181116012617PS,33977,B1,+37.33063,-121.91364,ER,F183209010,2018-11-16,2018-11-16
20181116012622PS,33982,B1,+37.33057,-121.91385,ER,F183209010,2018-11-16,2018-11-16
20181116012627PS,33987,B1,+37.33048,-121.91404,ER,F183209010,2018-11-16,2018-11-16
20181116012632PS,33992,B1,+37.33037,-121.91416,ER,F183209010,2018-11-16,2018-11-16
20181116012637PS,33997,B1,+37.33031,-121.91425,ER,F183209010,2018-11-16,2018-11-16
20181116012642PS,34002,B1,+37.33027,-121.91430,ER,F183209010,2018-11-16,2018-11-16
20181116012647PS,34007,B1,+37.33017,-121.91450,ER,F183209010,2018-11-16,2018-11-16
20181116012652PS,34012,B1,+37.33008,-121.91466,ER,F183209010,2018-11-16,2018-11-16
20181116012657PS,34017,B1,+37.33004,-121.91469,ER,F183209010,2018-11-16,2018-11-16
20181116012702PS,34022,B1,+37.33000,-121.91474,ER,F183209010,2018-11-16,2018-11-16
20181116012707PS,34027,B1,+37.32995,-121.91478,ER,F183209010,2018-11-16,2018-11-16
20181116012712PS,34032,B1,+37.32995,-121.91478,ER,F183209010,2018-11-16,2018-11-16
20181116012717PS,34037,B1,+37.32995,-121.91478,ER,F183209010,2018-11-16,2018-11-16
20181116012722PS,34042,B1,+37.32995,-121.91478,ER,F183209010,2018-11-16,2018-11-16
20181116015903PS,35943,B1,+37.32997,-121.91481,AR,F183209010,2018-11-16,2018-11-16
20181116012744PS,34064,B10,+37.31814,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012749PS,34069,B10,+37.31814,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012754PS,34074,B10,+37.31814,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012759PS,34079,B10,+37.31814,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012804PS,34084,B10,+37.31814,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012809PS,34089,B10,+37.31814,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012815PS,34094,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012819PS,34099,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012824PS,34104,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012829PS,34109,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012834PS,34114,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012839PS,34119,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012845PS,34124,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012849PS,34129,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012854PS,34134,B10,+37.31815,-121.94364,ER,F183209010,2018-11-16,2018-11-16
20181116012859PS,34139,B10,+37.31815,-121.94355,ER,F183209010,2018-11-16,2018-11-16
20181116012904PS,34144,B10,+37.31815,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012909PS,34149,B10,+37.31815,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012914PS,34154,B10,+37.31815,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012919PS,34159,B10,+37.31815,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012924PS,34164,B10,+37.31816,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012929PS,34169,B10,+37.31816,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012934PS,34174,B10,+37.31816,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012940PS,34179,B10,+37.31816,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012944PS,34184,B10,+37.31816,-121.94351,ER,F183209010,2018-11-16,2018-11-16
20181116012949PS,34189,B10,+37.31817,-121.94347,ER,F183209010,2018-11-16,2018-11-16
20181116012954PS,34194,B10,+37.31810,-121.94336,ER,F183209010,2018-11-16,2018-11-16
20181116012959PS,34199,B10,+37.31781,-121.94334,ER,F183209010,2018-11-16,2018-11-16
20181116013004PS,34204,B10,+37.31764,-121.94337,ER,F183209010,2018-11-16,2018-11-16
20181116013009PS,34209,B10,+37.31763,-121.94337,ER,F183209010,2018-11-16,2018-11-16
20181116013014PS,34214,B10,+37.31763,-121.94337,ER,F183209010,2018-11-16,2018-11-16
20181116013019PS,34219,B10,+37.31763,-121.94337,ER,F183209010,2018-11-16,2018-11-16
20181116013024PS,34224,B10,+37.31760,-121.94325,ER,F183209010,2018-11-16,2018-11-16
20181116013029PS,34229,B10,+37.31798,-121.94328,ER,F183209010,2018-11-16,2018-11-16
20181116013032PS,34232,B10,+37.31833,-121.94329,ER,F183209010,2018-11-16,2018-11-16
20181116013035PS,34235,B10,+37.31872,-121.94329,ER,F183209010,2018-11-16,2018-11-16
20181116013038PS,34238,B10,+37.31910,-121.94328,ER,F183209010,2018-11-16,2018-11-16
20181116013041PS,34241,B10,+37.31946,-121.94328,ER,F183209010,2018-11-16,2018-11-16
20181116013045PS,34245,B10,+37.31983,-121.94328,ER,F183209010,2018-11-16,2018-11-16
20181116013048PS,34248,B10,+37.32015,-121.94328,ER,F183209010,2018-11-16,2018-11-16
