datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180603151856PD,80336,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151900PD,80340,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151904PD,80344,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151910PD,80349,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151914PD,80354,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151919PD,80359,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151924PD,80364,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151929PD,80369,B1,+37.33882,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151935PD,80374,B1,+37.33882,-121.89492,ER,F181549159,2018-06-03,2018-06-03
20180603151939PD,80379,B1,+37.33882,-121.89492,ER,F181549159,2018-06-03,2018-06-03
20180603151944PD,80384,B1,+37.33881,-121.89491,ER,F181549159,2018-06-03,2018-06-03
20180603151950PD,80389,B1,+37.33886,-121.89485,ER,F181549159,2018-06-03,2018-06-03
20180603151954PD,80394,B1,+37.33889,-121.89477,ER,F181549159,2018-06-03,2018-06-03
20180603151959PD,80399,B1,+37.33880,-121.89463,ER,F181549159,2018-06-03,2018-06-03
20180603152004PD,80404,B1,+37.33851,-121.89447,ER,F181549159,2018-06-03,2018-06-03
20180603152009PD,80409,B1,+37.33827,-121.89470,ER,F181549159,2018-06-03,2018-06-03
20180603152013PD,80413,B1,+37.33807,-121.89514,ER,F181549159,2018-06-03,2018-06-03
20180603152016PD,80416,B1,+37.33787,-121.89554,ER,F181549159,2018-06-03,2018-06-03
20180603152019PD,80419,B1,+37.33768,-121.89599,ER,F181549159,2018-06-03,2018-06-03
20180603152022PD,80422,B1,+37.33754,-121.89646,ER,F181549159,2018-06-03,2018-06-03
20180603152025PD,80425,B1,+37.33740,-121.89698,ER,F181549159,2018-06-03,2018-06-03
20180603152027PD,80427,B1,+37.33727,-121.89734,ER,F181549159,2018-06-03,2018-06-03
20180603152029PD,80429,B1,+37.33714,-121.89771,ER,F181549159,2018-06-03,2018-06-03
20180603152032PD,80432,B1,+37.33695,-121.89822,ER,F181549159,2018-06-03,2018-06-03
20180603152036PD,80436,B1,+37.33698,-121.89870,ER,F181549159,2018-06-03,2018-06-03
20180603152040PD,80440,B1,+37.33736,-121.89878,ER,F181549159,2018-06-03,2018-06-03
20180603152045PD,80444,B1,+37.33750,-121.89832,ER,F181549159,2018-06-03,2018-06-03
20180603152047PD,80447,B1,+37.33723,-121.89804,ER,F181549159,2018-06-03,2018-06-03
20180603152050PD,80450,B1,+37.33682,-121.89785,ER,F181549159,2018-06-03,2018-06-03
20180603152052PD,80452,B1,+37.33648,-121.89774,ER,F181549159,2018-06-03,2018-06-03
20180603152054PD,80454,B1,+37.33612,-121.89764,ER,F181549159,2018-06-03,2018-06-03
20180603152056PD,80456,B1,+37.33572,-121.89756,ER,F181549159,2018-06-03,2018-06-03
20180603152058PD,80458,B1,+37.33530,-121.89749,ER,F181549159,2018-06-03,2018-06-03
20180603152100PD,80460,B1,+37.33485,-121.89741,ER,F181549159,2018-06-03,2018-06-03
20180603152102PD,80462,B1,+37.33435,-121.89731,ER,F181549159,2018-06-03,2018-06-03
20180603152105PD,80464,B1,+37.33385,-121.89720,ER,F181549159,2018-06-03,2018-06-03
20180603152106PD,80466,B1,+37.33332,-121.89707,ER,F181549159,2018-06-03,2018-06-03
20180603152108PD,80468,B1,+37.33277,-121.89696,ER,F181549159,2018-06-03,2018-06-03
20180603152110PD,80470,B1,+37.33219,-121.89685,ER,F181549159,2018-06-03,2018-06-03
20180603152113PD,80472,B1,+37.33159,-121.89673,ER,F181549159,2018-06-03,2018-06-03
20180603152115PD,80474,B1,+37.33097,-121.89660,ER,F181549159,2018-06-03,2018-06-03
20180603152116PD,80476,B1,+37.33037,-121.89642,ER,F181549159,2018-06-03,2018-06-03
20180603152118PD,80478,B1,+37.32978,-121.89619,ER,F181549159,2018-06-03,2018-06-03
20180603152120PD,80480,B1,+37.32920,-121.89590,ER,F181549159,2018-06-03,2018-06-03
20180603152122PD,80482,B1,+37.32863,-121.89556,ER,F181549159,2018-06-03,2018-06-03
20180603152123PD,80483,B1,+37.32835,-121.89539,ER,F181549159,2018-06-03,2018-06-03
20180603152125PD,80484,B1,+37.32807,-121.89520,ER,F181549159,2018-06-03,2018-06-03
20180603152125PD,80485,B1,+37.32779,-121.89502,ER,F181549159,2018-06-03,2018-06-03
20180603152126PD,80486,B1,+37.32750,-121.89483,ER,F181549159,2018-06-03,2018-06-03
20180603152127PD,80487,B1,+37.32722,-121.89464,ER,F181549159,2018-06-03,2018-06-03
20180603152128PD,80488,B1,+37.32693,-121.89445,ER,F181549159,2018-06-03,2018-06-03
20180603152129PD,80489,B1,+37.32665,-121.89426,ER,F181549159,2018-06-03,2018-06-03
20180603152130PD,80490,B1,+37.32636,-121.89407,ER,F181549159,2018-06-03,2018-06-03
20180603152132PD,80491,B1,+37.32608,-121.89388,ER,F181549159,2018-06-03,2018-06-03
20180603152132PD,80492,B1,+37.32580,-121.89369,ER,F181549159,2018-06-03,2018-06-03
20180603152133PD,80493,B1,+37.32551,-121.89350,ER,F181549159,2018-06-03,2018-06-03
20180603152134PD,80494,B1,+37.32522,-121.89331,ER,F181549159,2018-06-03,2018-06-03
20180603152135PD,80495,B1,+37.32493,-121.89311,ER,F181549159,2018-06-03,2018-06-03
20180603152136PD,80496,B1,+37.32465,-121.89292,ER,F181549159,2018-06-03,2018-06-03
20180603152138PD,80497,B1,+37.32435,-121.89272,ER,F181549159,2018-06-03,2018-06-03
20180603152138PD,80498,B1,+37.32406,-121.89253,ER,F181549159,2018-06-03,2018-06-03
20180603152139PD,80499,B1,+37.32377,-121.89233,ER,F181549159,2018-06-03,2018-06-03
20180603152140PD,80500,B1,+37.32347,-121.89213,ER,F181549159,2018-06-03,2018-06-03
20180603152141PD,80501,B1,+37.32318,-121.89193,ER,F181549159,2018-06-03,2018-06-03
20180603152142PD,80502,B1,+37.32288,-121.89174,ER,F181549159,2018-06-03,2018-06-03
20180603152143PD,80503,B1,+37.32259,-121.89154,ER,F181549159,2018-06-03,2018-06-03
20180603152144PD,80504,B1,+37.32229,-121.89134,ER,F181549159,2018-06-03,2018-06-03
20180603152145PD,80505,B1,+37.32199,-121.89115,ER,F181549159,2018-06-03,2018-06-03
20180603152146PD,80506,B1,+37.32170,-121.89097,ER,F181549159,2018-06-03,2018-06-03
20180603152147PD,80507,B1,+37.32140,-121.89081,ER,F181549159,2018-06-03,2018-06-03
20180603152148PD,80508,B1,+37.32111,-121.89067,ER,F181549159,2018-06-03,2018-06-03
20180603152149PD,80509,B1,+37.32081,-121.89054,ER,F181549159,2018-06-03,2018-06-03
20180603152151PD,80511,B1,+37.32021,-121.89033,ER,F181549159,2018-06-03,2018-06-03
20180603152153PD,80513,B1,+37.31962,-121.89017,ER,F181549159,2018-06-03,2018-06-03
20180603152155PD,80515,B1,+37.31904,-121.89002,ER,F181549159,2018-06-03,2018-06-03
20180603152157PD,80517,B1,+37.31847,-121.88987,ER,F181549159,2018-06-03,2018-06-03
20180603152159PD,80519,B1,+37.31792,-121.88971,ER,F181549159,2018-06-03,2018-06-03
20180603152201PD,80521,B1,+37.31738,-121.88952,ER,F181549159,2018-06-03,2018-06-03
20180603152203PD,80523,B1,+37.31687,-121.88928,ER,F181549159,2018-06-03,2018-06-03
20180603152205PD,80525,B1,+37.31637,-121.88900,ER,F181549159,2018-06-03,2018-06-03
20180603152207PD,80527,B1,+37.31589,-121.88869,ER,F181549159,2018-06-03,2018-06-03
20180603152210PD,80529,B1,+37.31542,-121.88833,ER,F181549159,2018-06-03,2018-06-03
20180603152211PD,80531,B1,+37.31497,-121.88792,ER,F181549159,2018-06-03,2018-06-03
20180603152213PD,80533,B1,+37.31453,-121.88748,ER,F181549159,2018-06-03,2018-06-03
20180603152215PD,80535,B1,+37.31409,-121.88703,ER,F181549159,2018-06-03,2018-06-03
20180603152217PD,80537,B1,+37.31363,-121.88656,ER,F181549159,2018-06-03,2018-06-03
20180603152219PD,80539,B1,+37.31315,-121.88609,ER,F181549159,2018-06-03,2018-06-03
20180603152221PD,80541,B1,+37.31266,-121.88563,ER,F181549159,2018-06-03,2018-06-03
20180603152223PD,80543,B1,+37.31215,-121.88518,ER,F181549159,2018-06-03,2018-06-03
20180603152224PD,80544,B1,+37.31189,-121.88496,ER,F181549159,2018-06-03,2018-06-03
