datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180115094257PS,63776,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094301PS,63781,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094306PS,63786,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094311PS,63791,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094315PS,63795,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094320PS,63800,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094324PS,63804,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094328PS,63808,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094332PS,63812,B1,+37.33876,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094337PS,63817,B1,+37.33875,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094341PS,63821,B1,+37.33875,-121.89478,ER,F180159069,2018-01-15,2018-01-15
20180115094346PS,63826,B1,+37.33876,-121.89474,ER,F180159069,2018-01-15,2018-01-15
20180115094351PS,63831,B1,+37.33877,-121.89470,ER,F180159069,2018-01-15,2018-01-15
20180115094355PS,63835,B1,+37.33876,-121.89470,ER,F180159069,2018-01-15,2018-01-15
20180115094359PS,63839,B1,+37.33876,-121.89470,ER,F180159069,2018-01-15,2018-01-15
20180115094404PS,63844,B1,+37.33877,-121.89468,ER,F180159069,2018-01-15,2018-01-15
20180115094409PS,63849,B1,+37.33877,-121.89468,ER,F180159069,2018-01-15,2018-01-15
20180115094413PS,63853,B1,+37.33877,-121.89468,ER,F180159069,2018-01-15,2018-01-15
20180115094418PS,63858,B1,+37.33878,-121.89466,ER,F180159069,2018-01-15,2018-01-15
20180115094422PS,63862,B1,+37.33872,-121.89455,ER,F180159069,2018-01-15,2018-01-15
20180115094426PS,63866,B1,+37.33849,-121.89440,ER,F180159069,2018-01-15,2018-01-15
20180115094430PS,63870,B1,+37.33831,-121.89450,ER,F180159069,2018-01-15,2018-01-15
20180115094434PS,63874,B1,+37.33813,-121.89488,ER,F180159069,2018-01-15,2018-01-15
20180115094440PS,63880,B1,+37.33780,-121.89559,ER,F180159069,2018-01-15,2018-01-15
20180115094446PS,63886,B1,+37.33754,-121.89639,ER,F180159069,2018-01-15,2018-01-15
20180115094452PS,63892,B1,+37.33729,-121.89738,ER,F180159069,2018-01-15,2018-01-15
20180115094458PS,63898,B1,+37.33693,-121.89828,ER,F180159069,2018-01-15,2018-01-15
20180115094502PS,63902,B1,+37.33699,-121.89873,ER,F180159069,2018-01-15,2018-01-15
20180115094506PS,63906,B1,+37.33735,-121.89879,ER,F180159069,2018-01-15,2018-01-15
20180115094510PS,63910,B1,+37.33751,-121.89837,ER,F180159069,2018-01-15,2018-01-15
20180115094514PS,63914,B1,+37.33719,-121.89801,ER,F180159069,2018-01-15,2018-01-15
20180115094519PS,63919,B1,+37.33645,-121.89773,ER,F180159069,2018-01-15,2018-01-15
20180115094523PS,63923,B1,+37.33570,-121.89756,ER,F180159069,2018-01-15,2018-01-15
20180115094527PS,63927,B1,+37.33487,-121.89742,ER,F180159069,2018-01-15,2018-01-15
20180115094531PS,63931,B1,+37.33402,-121.89727,ER,F180159069,2018-01-15,2018-01-15
20180115094535PS,63935,B1,+37.33316,-121.89712,ER,F180159069,2018-01-15,2018-01-15
20180115094539PS,63939,B1,+37.33227,-121.89697,ER,F180159069,2018-01-15,2018-01-15
20180115094543PS,63943,B1,+37.33136,-121.89682,ER,F180159069,2018-01-15,2018-01-15
20180115094549PS,63949,B1,+37.32999,-121.89643,ER,F180159069,2018-01-15,2018-01-15
20180115094554PS,63953,B1,+37.32912,-121.89601,ER,F180159069,2018-01-15,2018-01-15
20180115094559PS,63959,B1,+37.32788,-121.89530,ER,F180159069,2018-01-15,2018-01-15
20180115094603PS,63963,B1,+37.32708,-121.89484,ER,F180159069,2018-01-15,2018-01-15
20180115094609PS,63969,B1,+37.32599,-121.89432,ER,F180159069,2018-01-15,2018-01-15
20180115094613PS,63973,B1,+37.32528,-121.89434,ER,F180159069,2018-01-15,2018-01-15
20180115094619PS,63979,B1,+37.32431,-121.89490,ER,F180159069,2018-01-15,2018-01-15
20180115094625PS,63985,B1,+37.32363,-121.89597,ER,F180159069,2018-01-15,2018-01-15
20180115094629PS,63989,B1,+37.32327,-121.89671,ER,F180159069,2018-01-15,2018-01-15
20180115094635PS,63995,B1,+37.32275,-121.89790,ER,F180159069,2018-01-15,2018-01-15
20180115094641PS,64001,B1,+37.32211,-121.89914,ER,F180159069,2018-01-15,2018-01-15
20180115094645PS,64005,B1,+37.32156,-121.89993,ER,F180159069,2018-01-15,2018-01-15
20180115094649PS,64009,B1,+37.32096,-121.90064,ER,F180159069,2018-01-15,2018-01-15
20180115170017PS,3617,B1,+37.33870,-121.89482,ER,F180159175,2018-01-15,2018-01-15
20180115170021PS,3621,B1,+37.33870,-121.89482,ER,F180159175,2018-01-15,2018-01-15
20180115170025PS,3625,B1,+37.33870,-121.89482,ER,F180159175,2018-01-15,2018-01-15
20180115170033PS,3633,B1,+37.33871,-121.89481,ER,F180159175,2018-01-15,2018-01-15
20180115170037PS,3637,B1,+37.33872,-121.89475,ER,F180159175,2018-01-15,2018-01-15
20180115170041PS,3641,B1,+37.33873,-121.89471,ER,F180159175,2018-01-15,2018-01-15
20180115170045PS,3645,B1,+37.33876,-121.89466,ER,F180159175,2018-01-15,2018-01-15
20180115170049PS,3649,B1,+37.33891,-121.89462,ER,F180159175,2018-01-15,2018-01-15
20180115170053PS,3653,B1,+37.33923,-121.89482,ER,F180159175,2018-01-15,2018-01-15
20180115170059PS,3659,B1,+37.33991,-121.89536,ER,F180159175,2018-01-15,2018-01-15
20180115170103PS,3663,B1,+37.34044,-121.89590,ER,F180159175,2018-01-15,2018-01-15
20180115170107PS,3667,B1,+37.34094,-121.89653,ER,F180159175,2018-01-15,2018-01-15
20180115170111PS,3671,B1,+37.34134,-121.89718,ER,F180159175,2018-01-15,2018-01-15
20180115170115PS,3675,B1,+37.34175,-121.89784,ER,F180159175,2018-01-15,2018-01-15
20180115170119PS,3679,B1,+37.34215,-121.89855,ER,F180159175,2018-01-15,2018-01-15
20180115170124PS,3684,B1,+37.34232,-121.89950,ER,F180159175,2018-01-15,2018-01-15
