datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20181215151926PS,83966,B1,+37.33866,-121.89480,ER,F183499149,2018-12-15,2018-12-15
20181215151931PS,83971,B1,+37.33866,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215151936PS,83976,B1,+37.33866,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215151941PS,83981,B1,+37.33866,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215151946PS,83986,B1,+37.33866,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215151951PS,83991,B1,+37.33866,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215151956PS,83996,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152002PS,84001,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152006PS,84006,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152011PS,84011,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152015PS,84015,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152019PS,84019,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152024PS,84024,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152029PS,84029,B1,+37.33865,-121.89481,ER,F183499149,2018-12-15,2018-12-15
20181215152035PS,84034,B1,+37.33864,-121.89482,ER,F183499149,2018-12-15,2018-12-15
20181215152039PS,84039,B1,+37.33866,-121.89475,ER,F183499149,2018-12-15,2018-12-15
20181215152044PS,84044,B1,+37.33868,-121.89471,ER,F183499149,2018-12-15,2018-12-15
20181215152049PS,84049,B1,+37.33868,-121.89471,ER,F183499149,2018-12-15,2018-12-15
20181215152055PS,84054,B1,+37.33870,-121.89464,ER,F183499149,2018-12-15,2018-12-15
20181215152059PS,84059,B1,+37.33855,-121.89445,ER,F183499149,2018-12-15,2018-12-15
