datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180121051448PS,47688,B1,+37.33869,-121.89474,ER,F180219028,2018-01-21,2018-01-21
20180121051452PS,47692,B1,+37.33869,-121.89474,ER,F180219028,2018-01-21,2018-01-21
20180121051456PS,47696,B1,+37.33869,-121.89474,ER,F180219028,2018-01-21,2018-01-21
20180121051500PS,47700,B1,+37.33869,-121.89474,ER,F180219028,2018-01-21,2018-01-21
20180121051504PS,47704,B1,+37.33869,-121.89473,ER,F180219028,2018-01-21,2018-01-21
20180121051509PS,47709,B1,+37.33869,-121.89473,ER,F180219028,2018-01-21,2018-01-21
20180121051513PS,47713,B1,+37.33869,-121.89473,ER,F180219028,2018-01-21,2018-01-21
20180121051517PS,47717,B1,+37.33869,-121.89473,ER,F180219028,2018-01-21,2018-01-21
20180121051522PS,47722,B1,+37.33869,-121.89473,ER,F180219028,2018-01-21,2018-01-21
20180121051526PS,47726,B1,+37.33870,-121.89471,ER,F180219028,2018-01-21,2018-01-21
20180121051530PS,47730,B1,+37.33872,-121.89464,ER,F180219028,2018-01-21,2018-01-21
20180121051534PS,47734,B1,+37.33872,-121.89460,ER,F180219028,2018-01-21,2018-01-21
20180121051539PS,47739,B1,+37.33872,-121.89454,ER,F180219028,2018-01-21,2018-01-21
20180121051543PS,47743,B1,+37.33865,-121.89445,ER,F180219028,2018-01-21,2018-01-21
20180121051547PS,47747,B1,+37.33852,-121.89434,ER,F180219028,2018-01-21,2018-01-21
20180121051551PS,47751,B1,+37.33846,-121.89405,ER,F180219028,2018-01-21,2018-01-21
20180121051555PS,47755,B1,+37.33866,-121.89363,ER,F180219028,2018-01-21,2018-01-21
20180121051602PS,47762,B1,+37.33903,-121.89290,ER,F180219028,2018-01-21,2018-01-21
20180121051607PS,47767,B1,+37.33916,-121.89264,ER,F180219028,2018-01-21,2018-01-21
20180121051611PS,47771,B1,+37.33936,-121.89223,ER,F180219028,2018-01-21,2018-01-21
20180121051615PS,47775,B1,+37.33953,-121.89187,ER,F180219028,2018-01-21,2018-01-21
20180121051619PS,47779,B1,+37.33962,-121.89168,ER,F180219028,2018-01-21,2018-01-21
20180121051626PS,47786,B1,+37.33996,-121.89094,ER,F180219028,2018-01-21,2018-01-21
20180121051632PS,47792,B1,+37.34031,-121.89020,ER,F180219028,2018-01-21,2018-01-21
20180121051636PS,47796,B1,+37.34050,-121.88978,ER,F180219028,2018-01-21,2018-01-21
20180121051640PS,47800,B1,+37.34060,-121.88956,ER,F180219028,2018-01-21,2018-01-21
