datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180908171940PD,1180,B1,+37.34527,-121.90638,AR,F182519169,2018-09-08,2018-09-08
20180908121438PD,69278,B13,+37.26730,-121.86663,ER,F182519110,2018-09-08,2018-09-08
20180908121443PD,69283,B13,+37.26730,-121.86664,ER,F182519110,2018-09-08,2018-09-08
20180908121448PD,69288,B13,+37.26735,-121.86673,ER,F182519110,2018-09-08,2018-09-08
20180908121452PD,69292,B13,+37.26776,-121.86691,ER,F182519110,2018-09-08,2018-09-08
20180908121455PD,69295,B13,+37.26820,-121.86711,ER,F182519110,2018-09-08,2018-09-08
20180908121457PD,69297,B13,+37.26852,-121.86725,ER,F182519110,2018-09-08,2018-09-08
20180908121459PD,69299,B13,+37.26884,-121.86740,ER,F182519110,2018-09-08,2018-09-08
20180908121501PD,69301,B13,+37.26918,-121.86755,ER,F182519110,2018-09-08,2018-09-08
20180908121503PD,69303,B13,+37.26953,-121.86771,ER,F182519110,2018-09-08,2018-09-08
20180908121505PD,69305,B13,+37.26988,-121.86787,ER,F182519110,2018-09-08,2018-09-08
20180908121507PD,69307,B13,+37.27021,-121.86802,ER,F182519110,2018-09-08,2018-09-08
20180908121509PD,69309,B13,+37.27054,-121.86817,ER,F182519110,2018-09-08,2018-09-08
20180908121512PD,69312,B13,+37.27096,-121.86836,ER,F182519110,2018-09-08,2018-09-08
20180908121515PD,69315,B13,+37.27128,-121.86851,ER,F182519110,2018-09-08,2018-09-08
20180908121519PD,69318,B13,+37.27164,-121.86869,ER,F182519110,2018-09-08,2018-09-08
20180908121521PD,69321,B13,+37.27209,-121.86888,ER,F182519110,2018-09-08,2018-09-08
20180908121523PD,69323,B13,+37.27240,-121.86902,ER,F182519110,2018-09-08,2018-09-08
20180908121525PD,69325,B13,+37.27271,-121.86916,ER,F182519110,2018-09-08,2018-09-08
20180908121527PD,69327,B13,+37.27302,-121.86930,ER,F182519110,2018-09-08,2018-09-08
20180908121529PD,69329,B13,+37.27334,-121.86944,ER,F182519110,2018-09-08,2018-09-08
20180908121531PD,69331,B13,+37.27364,-121.86957,ER,F182519110,2018-09-08,2018-09-08
20180908121534PD,69334,B13,+37.27408,-121.86975,ER,F182519110,2018-09-08,2018-09-08
20180908121537PD,69337,B13,+37.27451,-121.86994,ER,F182519110,2018-09-08,2018-09-08
20180908121540PD,69340,B13,+37.27485,-121.87008,ER,F182519110,2018-09-08,2018-09-08
20180908121544PD,69344,B13,+37.27509,-121.86995,ER,F182519110,2018-09-08,2018-09-08
20180908121548PD,69348,B13,+37.27509,-121.86945,ER,F182519110,2018-09-08,2018-09-08
20180908121551PD,69351,B13,+37.27502,-121.86884,ER,F182519110,2018-09-08,2018-09-08
20180908121553PD,69353,B13,+37.27497,-121.86833,ER,F182519110,2018-09-08,2018-09-08
20180908121555PD,69355,B13,+37.27492,-121.86774,ER,F182519110,2018-09-08,2018-09-08
20180908121557PD,69357,B13,+37.27486,-121.86713,ER,F182519110,2018-09-08,2018-09-08
20180908121559PD,69359,B13,+37.27479,-121.86653,ER,F182519110,2018-09-08,2018-09-08
20180908121601PD,69361,B13,+37.27474,-121.86595,ER,F182519110,2018-09-08,2018-09-08
20180908121603PD,69363,B13,+37.27468,-121.86539,ER,F182519110,2018-09-08,2018-09-08
20180908121605PD,69365,B13,+37.27463,-121.86487,ER,F182519110,2018-09-08,2018-09-08
20180908121607PD,69367,B13,+37.27458,-121.86441,ER,F182519110,2018-09-08,2018-09-08
20180908121611PD,69370,B13,+37.27452,-121.86394,ER,F182519110,2018-09-08,2018-09-08
20180908121614PD,69374,B13,+37.27430,-121.86357,ER,F182519110,2018-09-08,2018-09-08
20180908121617PD,69377,B13,+37.27394,-121.86343,ER,F182519110,2018-09-08,2018-09-08
20180908121619PD,69379,B13,+37.27363,-121.86332,ER,F182519110,2018-09-08,2018-09-08
20180908121621PD,69381,B13,+37.27326,-121.86318,ER,F182519110,2018-09-08,2018-09-08
20180908121623PD,69383,B13,+37.27283,-121.86301,ER,F182519110,2018-09-08,2018-09-08
20180908121625PD,69385,B13,+37.27238,-121.86278,ER,F182519110,2018-09-08,2018-09-08
20180908121627PD,69387,B13,+37.27192,-121.86251,ER,F182519110,2018-09-08,2018-09-08
20180908121629PD,69389,B13,+37.27145,-121.86219,ER,F182519110,2018-09-08,2018-09-08
20180908121631PD,69391,B13,+37.27100,-121.86183,ER,F182519110,2018-09-08,2018-09-08
20180908121633PD,69393,B13,+37.27054,-121.86143,ER,F182519110,2018-09-08,2018-09-08
20180908121635PD,69395,B13,+37.27004,-121.86102,ER,F182519110,2018-09-08,2018-09-08
20180908121638PD,69397,B13,+37.26952,-121.86062,ER,F182519110,2018-09-08,2018-09-08
20180908121639PD,69399,B13,+37.26897,-121.86025,ER,F182519110,2018-09-08,2018-09-08
20180908121641PD,69400,B13,+37.26868,-121.86009,ER,F182519110,2018-09-08,2018-09-08
20180908121641PD,69401,B13,+37.26839,-121.85994,ER,F182519110,2018-09-08,2018-09-08
20180908121642PD,69402,B13,+37.26809,-121.85981,ER,F182519110,2018-09-08,2018-09-08
20180908121643PD,69403,B13,+37.26777,-121.85969,ER,F182519110,2018-09-08,2018-09-08
20180908121644PD,69404,B13,+37.26746,-121.85957,ER,F182519110,2018-09-08,2018-09-08
20180908121645PD,69405,B13,+37.26714,-121.85947,ER,F182519110,2018-09-08,2018-09-08
20180908121646PD,69406,B13,+37.26682,-121.85939,ER,F182519110,2018-09-08,2018-09-08
20180908121647PD,69407,B13,+37.26650,-121.85931,ER,F182519110,2018-09-08,2018-09-08
20180908121649PD,69408,B13,+37.26618,-121.85924,ER,F182519110,2018-09-08,2018-09-08
20180908121649PD,69409,B13,+37.26586,-121.85918,ER,F182519110,2018-09-08,2018-09-08
20180908121650PD,69410,B13,+37.26553,-121.85913,ER,F182519110,2018-09-08,2018-09-08
20180908121651PD,69411,B13,+37.26521,-121.85909,ER,F182519110,2018-09-08,2018-09-08
20180908121652PD,69412,B13,+37.26489,-121.85906,ER,F182519110,2018-09-08,2018-09-08
20180908121654PD,69413,B13,+37.26456,-121.85904,ER,F182519110,2018-09-08,2018-09-08
20180908121654PD,69414,B13,+37.26423,-121.85903,ER,F182519110,2018-09-08,2018-09-08
20180908121655PD,69415,B13,+37.26390,-121.85902,ER,F182519110,2018-09-08,2018-09-08
20180908121656PD,69416,B13,+37.26357,-121.85902,ER,F182519110,2018-09-08,2018-09-08
20180908121657PD,69417,B13,+37.26324,-121.85902,ER,F182519110,2018-09-08,2018-09-08
20180908121659PD,69418,B13,+37.26290,-121.85902,ER,F182519110,2018-09-08,2018-09-08
20180908121659PD,69419,B13,+37.26257,-121.85901,ER,F182519110,2018-09-08,2018-09-08
20180908121700PD,69420,B13,+37.26224,-121.85901,ER,F182519110,2018-09-08,2018-09-08
20180908121701PD,69421,B13,+37.26191,-121.85901,ER,F182519110,2018-09-08,2018-09-08
20180908121702PD,69422,B13,+37.26158,-121.85901,ER,F182519110,2018-09-08,2018-09-08
20180908121704PD,69423,B13,+37.26125,-121.85900,ER,F182519110,2018-09-08,2018-09-08
20180908121704PD,69424,B13,+37.26092,-121.85900,ER,F182519110,2018-09-08,2018-09-08
20180908121705PD,69425,B13,+37.26060,-121.85900,ER,F182519110,2018-09-08,2018-09-08
20180908121706PD,69426,B13,+37.26028,-121.85900,ER,F182519110,2018-09-08,2018-09-08
20180908121707PD,69427,B13,+37.25996,-121.85900,ER,F182519110,2018-09-08,2018-09-08
20180908121709PD,69429,B13,+37.25934,-121.85899,ER,F182519110,2018-09-08,2018-09-08
20180908121712PD,69431,B13,+37.25873,-121.85899,ER,F182519110,2018-09-08,2018-09-08
20180908121713PD,69433,B13,+37.25816,-121.85898,ER,F182519110,2018-09-08,2018-09-08
20180908121715PD,69435,B13,+37.25761,-121.85895,ER,F182519110,2018-09-08,2018-09-08
20180908121718PD,69437,B13,+37.25710,-121.85881,ER,F182519110,2018-09-08,2018-09-08
20180908121719PD,69439,B13,+37.25661,-121.85858,ER,F182519110,2018-09-08,2018-09-08
20180908121721PD,69441,B13,+37.25616,-121.85825,ER,F182519110,2018-09-08,2018-09-08
20180908121723PD,69443,B13,+37.25576,-121.85782,ER,F182519110,2018-09-08,2018-09-08
20180908121725PD,69445,B13,+37.25544,-121.85732,ER,F182519110,2018-09-08,2018-09-08
20180908121727PD,69447,B13,+37.25518,-121.85677,ER,F182519110,2018-09-08,2018-09-08
20180908121729PD,69449,B13,+37.25500,-121.85616,ER,F182519110,2018-09-08,2018-09-08
20180908121731PD,69451,B13,+37.25489,-121.85553,ER,F182519110,2018-09-08,2018-09-08
20180908121733PD,69453,B13,+37.25487,-121.85488,ER,F182519110,2018-09-08,2018-09-08
20180908121735PD,69455,B13,+37.25491,-121.85423,ER,F182519110,2018-09-08,2018-09-08
20180908121737PD,69457,B13,+37.25498,-121.85357,ER,F182519110,2018-09-08,2018-09-08
20180908121739PD,69459,B13,+37.25504,-121.85291,ER,F182519110,2018-09-08,2018-09-08
20180908121741PD,69461,B13,+37.25508,-121.85228,ER,F182519110,2018-09-08,2018-09-08
20180908121743PD,69463,B13,+37.25510,-121.85165,ER,F182519110,2018-09-08,2018-09-08
20180908121745PD,69465,B13,+37.25513,-121.85101,ER,F182519110,2018-09-08,2018-09-08
20180908121747PD,69467,B13,+37.25515,-121.85034,ER,F182519110,2018-09-08,2018-09-08
20180908121749PD,69469,B13,+37.25515,-121.84964,ER,F182519110,2018-09-08,2018-09-08
20180908121751PD,69471,B13,+37.25515,-121.84891,ER,F182519110,2018-09-08,2018-09-08
20180908121754PD,69473,B13,+37.25513,-121.84816,ER,F182519110,2018-09-08,2018-09-08
20180908121755PD,69475,B13,+37.25506,-121.84738,ER,F182519110,2018-09-08,2018-09-08
20180908121757PD,69477,B13,+37.25494,-121.84661,ER,F182519110,2018-09-08,2018-09-08
20180908121759PD,69479,B13,+37.25477,-121.84586,ER,F182519110,2018-09-08,2018-09-08
20180908121801PD,69481,B13,+37.25456,-121.84513,ER,F182519110,2018-09-08,2018-09-08
20180908121803PD,69483,B13,+37.25429,-121.84441,ER,F182519110,2018-09-08,2018-09-08
20180908121804PD,69484,B13,+37.25414,-121.84406,ER,F182519110,2018-09-08,2018-09-08
20180908121805PD,69485,B13,+37.25397,-121.84372,ER,F182519110,2018-09-08,2018-09-08
20180908121806PD,69486,B13,+37.25380,-121.84337,ER,F182519110,2018-09-08,2018-09-08
20180908121807PD,69487,B13,+37.25363,-121.84302,ER,F182519110,2018-09-08,2018-09-08
20180908121808PD,69488,B13,+37.25345,-121.84266,ER,F182519110,2018-09-08,2018-09-08
20180908121809PD,69489,B13,+37.25328,-121.84231,ER,F182519110,2018-09-08,2018-09-08
20180908121810PD,69490,B13,+37.25310,-121.84196,ER,F182519110,2018-09-08,2018-09-08
20180908121811PD,69491,B13,+37.25293,-121.84160,ER,F182519110,2018-09-08,2018-09-08
20180908121812PD,69492,B13,+37.25275,-121.84124,ER,F182519110,2018-09-08,2018-09-08
20180908121813PD,69493,B13,+37.25257,-121.84088,ER,F182519110,2018-09-08,2018-09-08
20180908121814PD,69494,B13,+37.25240,-121.84052,ER,F182519110,2018-09-08,2018-09-08
20180908121816PD,69495,B13,+37.25222,-121.84016,ER,F182519110,2018-09-08,2018-09-08
20180908121816PD,69496,B13,+37.25204,-121.83980,ER,F182519110,2018-09-08,2018-09-08
20180908121817PD,69497,B13,+37.25187,-121.83944,ER,F182519110,2018-09-08,2018-09-08
20180908121818PD,69498,B13,+37.25169,-121.83908,ER,F182519110,2018-09-08,2018-09-08
20180908121819PD,69499,B13,+37.25151,-121.83872,ER,F182519110,2018-09-08,2018-09-08
20180908121820PD,69500,B13,+37.25133,-121.83836,ER,F182519110,2018-09-08,2018-09-08
20180908121821PD,69501,B13,+37.25116,-121.83800,ER,F182519110,2018-09-08,2018-09-08
20180908121822PD,69502,B13,+37.25098,-121.83763,ER,F182519110,2018-09-08,2018-09-08
20180908121823PD,69503,B13,+37.25080,-121.83727,ER,F182519110,2018-09-08,2018-09-08
20180908121824PD,69504,B13,+37.25063,-121.83690,ER,F182519110,2018-09-08,2018-09-08
20180908121825PD,69505,B13,+37.25045,-121.83652,ER,F182519110,2018-09-08,2018-09-08
20180908121826PD,69506,B13,+37.25027,-121.83615,ER,F182519110,2018-09-08,2018-09-08
20180908121827PD,69507,B13,+37.25008,-121.83577,ER,F182519110,2018-09-08,2018-09-08
20180908121828PD,69508,B13,+37.24989,-121.83540,ER,F182519110,2018-09-08,2018-09-08
20180908121829PD,69509,B13,+37.24971,-121.83503,ER,F182519110,2018-09-08,2018-09-08
20180908121830PD,69510,B13,+37.24952,-121.83465,ER,F182519110,2018-09-08,2018-09-08
20180908121831PD,69511,B13,+37.24933,-121.83426,ER,F182519110,2018-09-08,2018-09-08
20180908121832PD,69512,B13,+37.24914,-121.83388,ER,F182519110,2018-09-08,2018-09-08
20180908121833PD,69513,B13,+37.24895,-121.83350,ER,F182519110,2018-09-08,2018-09-08
20180908121834PD,69514,B13,+37.24876,-121.83311,ER,F182519110,2018-09-08,2018-09-08
20180908121835PD,69515,B13,+37.24857,-121.83273,ER,F182519110,2018-09-08,2018-09-08
20180908121836PD,69516,B13,+37.24839,-121.83234,ER,F182519110,2018-09-08,2018-09-08
20180908121837PD,69517,B13,+37.24820,-121.83196,ER,F182519110,2018-09-08,2018-09-08
20180908121838PD,69518,B13,+37.24801,-121.83157,ER,F182519110,2018-09-08,2018-09-08
20180908121839PD,69519,B13,+37.24782,-121.83119,ER,F182519110,2018-09-08,2018-09-08
