datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20190429022932PD,34172,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429022937PD,34177,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429022942PD,34182,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429022947PD,34187,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429022952PD,34192,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429022957PD,34197,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023002PD,34202,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023007PD,34207,B1,+37.33906,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023012PD,34212,B1,+37.33907,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023017PD,34217,B1,+37.33907,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023022PD,34222,B1,+37.33907,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023027PD,34227,B1,+37.33907,-121.89477,ER,F191199027,2019-04-29,2019-04-29
20190429023032PD,34232,B1,+37.33907,-121.89476,ER,F191199027,2019-04-29,2019-04-29
20190429023037PD,34237,B1,+37.33907,-121.89476,ER,F191199027,2019-04-29,2019-04-29
20190429023042PD,34242,B1,+37.33900,-121.89472,ER,F191199027,2019-04-29,2019-04-29
20190429023047PD,34247,B1,+37.33889,-121.89466,ER,F191199027,2019-04-29,2019-04-29
20190429023052PD,34252,B1,+37.33879,-121.89443,ER,F191199027,2019-04-29,2019-04-29
20190429023057PD,34257,B1,+37.33869,-121.89442,ER,F191199027,2019-04-29,2019-04-29
20190429023101PD,34261,B1,+37.33846,-121.89488,ER,F191199027,2019-04-29,2019-04-29
20190429023104PD,34264,B1,+37.33823,-121.89527,ER,F191199027,2019-04-29,2019-04-29
20190429023107PD,34267,B1,+37.33801,-121.89567,ER,F191199027,2019-04-29,2019-04-29
20190429023110PD,34270,B1,+37.33781,-121.89607,ER,F191199027,2019-04-29,2019-04-29
20190429023113PD,34273,B1,+37.33764,-121.89652,ER,F191199027,2019-04-29,2019-04-29
20190429023116PD,34276,B1,+37.33751,-121.89704,ER,F191199027,2019-04-29,2019-04-29
20190429023119PD,34279,B1,+37.33731,-121.89753,ER,F191199027,2019-04-29,2019-04-29
20190429023122PD,34282,B1,+37.33709,-121.89800,ER,F191199027,2019-04-29,2019-04-29
20190429023125PD,34285,B1,+37.33689,-121.89843,ER,F191199027,2019-04-29,2019-04-29
20190429023130PD,34289,B1,+37.33709,-121.89881,ER,F191199027,2019-04-29,2019-04-29
20190429023133PD,34293,B1,+37.33745,-121.89870,ER,F191199027,2019-04-29,2019-04-29
20190429023137PD,34297,B1,+37.33749,-121.89820,ER,F191199027,2019-04-29,2019-04-29
20190429023140PD,34300,B1,+37.33719,-121.89798,ER,F191199027,2019-04-29,2019-04-29
20190429023143PD,34303,B1,+37.33678,-121.89783,ER,F191199027,2019-04-29,2019-04-29
20190429023146PD,34306,B1,+37.33632,-121.89769,ER,F191199027,2019-04-29,2019-04-29
20190429023150PD,34308,B1,+37.33596,-121.89761,ER,F191199027,2019-04-29,2019-04-29
20190429023150PD,34310,B1,+37.33558,-121.89753,ER,F191199027,2019-04-29,2019-04-29
20190429023152PD,34312,B1,+37.33517,-121.89746,ER,F191199027,2019-04-29,2019-04-29
20190429023154PD,34314,B1,+37.33475,-121.89739,ER,F191199027,2019-04-29,2019-04-29
20190429023156PD,34316,B1,+37.33432,-121.89731,ER,F191199027,2019-04-29,2019-04-29
20190429023158PD,34318,B1,+37.33389,-121.89722,ER,F191199027,2019-04-29,2019-04-29
20190429023200PD,34320,B1,+37.33344,-121.89713,ER,F191199027,2019-04-29,2019-04-29
20190429023202PD,34322,B1,+37.33299,-121.89705,ER,F191199027,2019-04-29,2019-04-29
20190429023204PD,34324,B1,+37.33254,-121.89698,ER,F191199027,2019-04-29,2019-04-29
20190429023206PD,34326,B1,+37.33209,-121.89690,ER,F191199027,2019-04-29,2019-04-29
20190429023208PD,34328,B1,+37.33162,-121.89682,ER,F191199027,2019-04-29,2019-04-29
20190429023210PD,34330,B1,+37.33115,-121.89673,ER,F191199027,2019-04-29,2019-04-29
