datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180610005205PD,28325,B1,+37.33874,-121.89476,ER,F181619011,2018-06-10,2018-06-10
20180610005209PD,28329,B1,+37.33874,-121.89476,ER,F181619011,2018-06-10,2018-06-10
20180610005214PD,28334,B1,+37.33874,-121.89476,ER,F181619011,2018-06-10,2018-06-10
20180610005219PD,28339,B1,+37.33874,-121.89477,ER,F181619011,2018-06-10,2018-06-10
20180610005224PD,28344,B1,+37.33874,-121.89477,ER,F181619011,2018-06-10,2018-06-10
20180610005229PD,28349,B1,+37.33874,-121.89477,ER,F181619011,2018-06-10,2018-06-10
20180610005234PD,28354,B1,+37.33874,-121.89477,ER,F181619011,2018-06-10,2018-06-10
20180610005239PD,28359,B1,+37.33874,-121.89477,ER,F181619011,2018-06-10,2018-06-10
20180610005244PD,28364,B1,+37.33874,-121.89477,ER,F181619011,2018-06-10,2018-06-10
20180610005249PD,28369,B1,+37.33873,-121.89475,ER,F181619011,2018-06-10,2018-06-10
20180610005254PD,28374,B1,+37.33875,-121.89468,ER,F181619011,2018-06-10,2018-06-10
20180610005259PD,28379,B1,+37.33875,-121.89459,ER,F181619011,2018-06-10,2018-06-10
20180610005304PD,28384,B1,+37.33854,-121.89438,ER,F181619011,2018-06-10,2018-06-10
20180610005309PD,28389,B1,+37.33830,-121.89419,ER,F181619011,2018-06-10,2018-06-10
20180610005313PD,28393,B1,+37.33799,-121.89397,ER,F181619011,2018-06-10,2018-06-10
20180610005316PD,28396,B1,+37.33770,-121.89375,ER,F181619011,2018-06-10,2018-06-10
20180610005319PD,28399,B1,+37.33738,-121.89352,ER,F181619011,2018-06-10,2018-06-10
20180610005322PD,28402,B1,+37.33702,-121.89325,ER,F181619011,2018-06-10,2018-06-10
20180610005325PD,28405,B1,+37.33665,-121.89298,ER,F181619011,2018-06-10,2018-06-10
20180610005328PD,28408,B1,+37.33629,-121.89269,ER,F181619011,2018-06-10,2018-06-10
20180610005331PD,28411,B1,+37.33595,-121.89242,ER,F181619011,2018-06-10,2018-06-10
20180610005335PD,28414,B1,+37.33568,-121.89221,ER,F181619011,2018-06-10,2018-06-10
20180610005339PD,28419,B1,+37.33550,-121.89203,ER,F181619011,2018-06-10,2018-06-10
20180610005344PD,28424,B1,+37.33559,-121.89164,ER,F181619011,2018-06-10,2018-06-10
20180610005347PD,28427,B1,+37.33578,-121.89127,ER,F181619011,2018-06-10,2018-06-10
20180610005350PD,28430,B1,+37.33599,-121.89087,ER,F181619011,2018-06-10,2018-06-10
20180610005353PD,28433,B1,+37.33618,-121.89048,ER,F181619011,2018-06-10,2018-06-10
20180610005356PD,28436,B1,+37.33637,-121.89011,ER,F181619011,2018-06-10,2018-06-10
20180610005400PD,28440,B1,+37.33657,-121.88972,ER,F181619011,2018-06-10,2018-06-10
20180610005404PD,28444,B1,+37.33668,-121.88947,ER,F181619011,2018-06-10,2018-06-10
20180610005408PD,28448,B1,+37.33686,-121.88909,ER,F181619011,2018-06-10,2018-06-10
20180610005412PD,28452,B1,+37.33707,-121.88874,ER,F181619011,2018-06-10,2018-06-10
20180610005417PD,28457,B1,+37.33717,-121.88852,ER,F181619011,2018-06-10,2018-06-10
