datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180906004755PD,28074,B13,+37.26854,-121.86563,ER,F182499010,2018-09-06,2018-09-06
20180906004759PD,28078,B13,+37.26879,-121.86546,ER,F182499010,2018-09-06,2018-09-06
20180906004803PD,28083,B13,+37.26862,-121.86561,ER,F182499010,2018-09-06,2018-09-06
20180906004808PD,28088,B13,+37.26872,-121.86555,ER,F182499010,2018-09-06,2018-09-06
20180906004813PD,28093,B13,+37.26865,-121.86562,ER,F182499010,2018-09-06,2018-09-06
20180906004818PD,28098,B13,+37.26871,-121.86558,ER,F182499010,2018-09-06,2018-09-06
20180906004823PD,28103,B13,+37.26881,-121.86554,ER,F182499010,2018-09-06,2018-09-06
20180906004828PD,28108,B13,+37.26900,-121.86541,ER,F182499010,2018-09-06,2018-09-06
20180906004832PD,28112,B13,+37.26829,-121.86586,ER,F182499010,2018-09-06,2018-09-06
20180906004833PD,28113,B13,+37.26800,-121.86605,ER,F182499010,2018-09-06,2018-09-06
20180906004835PD,28115,B13,+37.26764,-121.86628,ER,F182499010,2018-09-06,2018-09-06
20180906004839PD,28119,B13,+37.26745,-121.86642,ER,F182499010,2018-09-06,2018-09-06
20180906004843PD,28123,B13,+37.26726,-121.86653,ER,F182499010,2018-09-06,2018-09-06
20180906004848PD,28128,B13,+37.26723,-121.86657,ER,F182499010,2018-09-06,2018-09-06
20180906004853PD,28133,B13,+37.26724,-121.86656,ER,F182499010,2018-09-06,2018-09-06
20180906004858PD,28138,B13,+37.26737,-121.86655,ER,F182499010,2018-09-06,2018-09-06
20180906004903PD,28143,B13,+37.26744,-121.86650,ER,F182499010,2018-09-06,2018-09-06
20180906004909PD,28148,B13,+37.26744,-121.86652,ER,F182499010,2018-09-06,2018-09-06
20180906004913PD,28153,B13,+37.26740,-121.86655,ER,F182499010,2018-09-06,2018-09-06
20180906004918PD,28158,B13,+37.26743,-121.86649,ER,F182499010,2018-09-06,2018-09-06
20180906004923PD,28163,B13,+37.26746,-121.86651,ER,F182499010,2018-09-06,2018-09-06
20180906004928PD,28168,B13,+37.26753,-121.86647,ER,F182499010,2018-09-06,2018-09-06
20180906004933PD,28173,B13,+37.26761,-121.86641,ER,F182499010,2018-09-06,2018-09-06
20180906004939PD,28178,B13,+37.26764,-121.86639,ER,F182499010,2018-09-06,2018-09-06
20180906004943PD,28183,B13,+37.26763,-121.86639,ER,F182499010,2018-09-06,2018-09-06
