datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20181229091020PS,61820,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091024PS,61824,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091029PS,61829,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091035PS,61834,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091040PS,61839,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091045PS,61844,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091049PS,61849,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091054PS,61854,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091059PS,61859,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091104PS,61864,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091109PS,61869,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091115PS,61874,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091120PS,61879,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091125PS,61884,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091130PS,61889,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091134PS,61894,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091139PS,61899,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091145PS,61904,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091150PS,61909,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091155PS,61914,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091200PS,61919,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091205PS,61924,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091209PS,61929,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091214PS,61934,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091219PS,61939,B1,+37.32545,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091224PS,61944,B1,+37.32544,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091229PS,61949,B1,+37.32544,-121.90144,ER,F183639067,2018-12-29,2018-12-29
20181229091235PS,61954,B1,+37.32546,-121.90142,ER,F183639067,2018-12-29,2018-12-29
20181229091240PS,61959,B1,+37.32553,-121.90125,ER,F183639067,2018-12-29,2018-12-29
20181229091244PS,61964,B1,+37.32558,-121.90105,ER,F183639067,2018-12-29,2018-12-29
20181229091249PS,61969,B1,+37.32558,-121.90100,ER,F183639067,2018-12-29,2018-12-29
20181229091254PS,61974,B1,+37.32546,-121.90086,ER,F183639067,2018-12-29,2018-12-29
20181229091259PS,61979,B1,+37.32509,-121.90080,ER,F183639067,2018-12-29,2018-12-29
20181229091303PS,61983,B1,+37.32477,-121.90066,ER,F183639067,2018-12-29,2018-12-29
20181229091308PS,61987,B1,+37.32465,-121.90048,ER,F183639067,2018-12-29,2018-12-29
20181229091311PS,61991,B1,+37.32477,-121.90006,ER,F183639067,2018-12-29,2018-12-29
20181229091314PS,61994,B1,+37.32501,-121.89965,ER,F183639067,2018-12-29,2018-12-29
20181229091317PS,61997,B1,+37.32529,-121.89917,ER,F183639067,2018-12-29,2018-12-29
20181229091320PS,62000,B1,+37.32556,-121.89873,ER,F183639067,2018-12-29,2018-12-29
20181229091323PS,62003,B1,+37.32580,-121.89832,ER,F183639067,2018-12-29,2018-12-29
20181229091326PS,62006,B1,+37.32607,-121.89788,ER,F183639067,2018-12-29,2018-12-29
20181229091329PS,62009,B1,+37.32634,-121.89743,ER,F183639067,2018-12-29,2018-12-29
20181229091332PS,62012,B1,+37.32662,-121.89697,ER,F183639067,2018-12-29,2018-12-29
20181229091335PS,62015,B1,+37.32691,-121.89653,ER,F183639067,2018-12-29,2018-12-29
20181229091338PS,62018,B1,+37.32717,-121.89610,ER,F183639067,2018-12-29,2018-12-29
20181229091341PS,62021,B1,+37.32734,-121.89577,ER,F183639067,2018-12-29,2018-12-29
20181229091346PS,62026,B1,+37.32728,-121.89546,ER,F183639067,2018-12-29,2018-12-29
20181229091350PS,62030,B1,+37.32690,-121.89517,ER,F183639067,2018-12-29,2018-12-29
20181229091353PS,62033,B1,+37.32654,-121.89489,ER,F183639067,2018-12-29,2018-12-29
20181229091356PS,62036,B1,+37.32623,-121.89466,ER,F183639067,2018-12-29,2018-12-29
20181229091400PS,62040,B1,+37.32592,-121.89442,ER,F183639067,2018-12-29,2018-12-29
20181229091403PS,62043,B1,+37.32566,-121.89411,ER,F183639067,2018-12-29,2018-12-29
