datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180508141928PD,76768,B1,+37.33873,-121.89469,ER,F181289151,2018-05-08,2018-05-08
20180508190759PD,7679,B1,+37.33877,-121.89470,ER,F181289232,2018-05-08,2018-05-08
20180508190804PD,7684,B1,+37.33876,-121.89470,ER,F181289232,2018-05-08,2018-05-08
20180508190809PD,7689,B1,+37.33875,-121.89467,ER,F181289232,2018-05-08,2018-05-08
20180508190813PD,7693,B1,+37.33877,-121.89460,ER,F181289232,2018-05-08,2018-05-08
20180508190818PD,7698,B1,+37.33865,-121.89438,ER,F181289232,2018-05-08,2018-05-08
20180508190822PD,7702,B1,+37.33848,-121.89411,ER,F181289232,2018-05-08,2018-05-08
20180508190830PD,7710,B1,+37.33882,-121.89334,ER,F181289232,2018-05-08,2018-05-08
20180508190834PD,7714,B1,+37.33899,-121.89294,ER,F181289232,2018-05-08,2018-05-08
20180508190841PD,7721,B1,+37.33941,-121.89212,ER,F181289232,2018-05-08,2018-05-08
20180508190847PD,7727,B1,+37.33984,-121.89120,ER,F181289232,2018-05-08,2018-05-08
20180508190855PD,7735,B1,+37.34025,-121.89034,ER,F181289232,2018-05-08,2018-05-08
20180508190903PD,7743,B1,+37.34062,-121.88953,ER,F181289232,2018-05-08,2018-05-08
20180508190907PD,7747,B1,+37.34083,-121.88905,ER,F181289232,2018-05-08,2018-05-08
20180508190913PD,7753,B1,+37.34121,-121.88825,ER,F181289232,2018-05-08,2018-05-08
20180508190919PD,7759,B1,+37.34158,-121.88749,ER,F181289232,2018-05-08,2018-05-08
20180508190925PD,7765,B1,+37.34197,-121.88667,ER,F181289232,2018-05-08,2018-05-08
20180508190929PD,7769,B1,+37.34216,-121.88627,ER,F181289232,2018-05-08,2018-05-08
20180508190935PD,7775,B1,+37.34256,-121.88542,ER,F181289232,2018-05-08,2018-05-08
20180508190941PD,7781,B1,+37.34293,-121.88463,ER,F181289232,2018-05-08,2018-05-08
20180508190946PD,7786,B1,+37.34309,-121.88432,ER,F181289232,2018-05-08,2018-05-08
20180508190954PD,7794,B1,+37.34364,-121.88463,ER,F181289232,2018-05-08,2018-05-08
20180508191001PD,7801,B1,+37.34425,-121.88510,ER,F181289232,2018-05-08,2018-05-08
20180508191006PD,7806,B1,+37.34445,-121.88524,ER,F181289232,2018-05-08,2018-05-08
20180508191010PD,7810,B1,+37.34453,-121.88529,ER,F181289232,2018-05-08,2018-05-08
20180508191015PD,7815,B1,+37.34467,-121.88515,ER,F181289232,2018-05-08,2018-05-08
20180508191020PD,7820,B1,+37.34484,-121.88479,ER,F181289232,2018-05-08,2018-05-08
20180508191024PD,7824,B1,+37.34496,-121.88453,ER,F181289232,2018-05-08,2018-05-08
20180508191028PD,7828,B1,+37.34501,-121.88433,ER,F181289232,2018-05-08,2018-05-08
20180508191037PD,7837,B1,+37.34481,-121.88407,ER,F181289232,2018-05-08,2018-05-08
20180508191041PD,7841,B1,+37.34472,-121.88400,ER,F181289232,2018-05-08,2018-05-08
20180508191046PD,7846,B1,+37.34464,-121.88394,ER,F181289232,2018-05-08,2018-05-08
20180508191050PD,7850,B1,+37.34457,-121.88390,ER,F181289232,2018-05-08,2018-05-08
20180508191055PD,7855,B1,+37.34455,-121.88391,ER,F181289232,2018-05-08,2018-05-08
20180508191059PD,7859,B1,+37.34455,-121.88391,ER,F181289232,2018-05-08,2018-05-08
20180508191104PD,7864,B1,+37.34456,-121.88391,ER,F181289232,2018-05-08,2018-05-08
20180508191108PD,7868,B1,+37.34458,-121.88390,ER,F181289232,2018-05-08,2018-05-08
20180508191113PD,7873,B1,+37.34461,-121.88387,ER,F181289232,2018-05-08,2018-05-08
20180508191117PD,7877,B1,+37.34461,-121.88386,ER,F181289232,2018-05-08,2018-05-08
20180508191122PD,7882,B1,+37.34461,-121.88385,AR,F181289232,2018-05-08,2018-05-08
20180508200249PD,10969,B1,+37.33863,-121.89474,ER,F181289245,2018-05-08,2018-05-08
20180508200254PD,10974,B1,+37.33863,-121.89475,ER,F181289245,2018-05-08,2018-05-08
20180508200258PD,10978,B1,+37.33863,-121.89475,ER,F181289245,2018-05-08,2018-05-08
20180508200303PD,10983,B1,+37.33864,-121.89474,ER,F181289245,2018-05-08,2018-05-08
20180508200307PD,10987,B1,+37.33866,-121.89467,ER,F181289245,2018-05-08,2018-05-08
20180508200312PD,10992,B1,+37.33869,-121.89456,ER,F181289245,2018-05-08,2018-05-08
20180508200316PD,10996,B1,+37.33868,-121.89442,ER,F181289245,2018-05-08,2018-05-08
20180508200321PD,11001,B1,+37.33848,-121.89426,ER,F181289245,2018-05-08,2018-05-08
