datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180415141036PD,76236,B1,+37.30639,-121.84889,ER,F181059144,2018-04-15,2018-04-15
20180415141040PD,76240,B1,+37.30639,-121.84889,ER,F181059144,2018-04-15,2018-04-15
20180415141045PD,76245,B1,+37.30639,-121.84889,ER,F181059144,2018-04-15,2018-04-15
20180415141049PD,76249,B1,+37.30639,-121.84889,ER,F181059144,2018-04-15,2018-04-15
20180415141054PD,76254,B1,+37.30641,-121.84893,ER,F181059144,2018-04-15,2018-04-15
20180415141058PD,76258,B1,+37.30642,-121.84904,ER,F181059144,2018-04-15,2018-04-15
20180415141103PD,76263,B1,+37.30642,-121.84909,ER,F181059144,2018-04-15,2018-04-15
20180415141107PD,76267,B1,+37.30642,-121.84909,ER,F181059144,2018-04-15,2018-04-15
20180415141112PD,76272,B1,+37.30642,-121.84909,ER,F181059144,2018-04-15,2018-04-15
20180415141117PD,76277,B1,+37.30646,-121.84917,ER,F181059144,2018-04-15,2018-04-15
20180415141121PD,76281,B1,+37.30658,-121.84930,ER,F181059144,2018-04-15,2018-04-15
20180415141126PD,76286,B1,+37.30666,-121.84936,ER,F181059144,2018-04-15,2018-04-15
20180415141130PD,76290,B1,+37.30671,-121.84938,ER,F181059144,2018-04-15,2018-04-15
20180415141135PD,76295,B1,+37.30692,-121.84914,ER,F181059144,2018-04-15,2018-04-15
20180415141139PD,76299,B1,+37.30717,-121.84876,ER,F181059144,2018-04-15,2018-04-15
20180415141147PD,76307,B1,+37.30771,-121.84806,ER,F181059144,2018-04-15,2018-04-15
20180415141151PD,76311,B1,+37.30784,-121.84781,ER,F181059144,2018-04-15,2018-04-15
20180415141156PD,76316,B1,+37.30769,-121.84746,ER,F181059144,2018-04-15,2018-04-15
20180415141202PD,76322,B1,+37.30705,-121.84682,ER,F181059144,2018-04-15,2018-04-15
20180415141206PD,76326,B1,+37.30649,-121.84628,ER,F181059144,2018-04-15,2018-04-15
20180415141211PD,76331,B1,+37.30584,-121.84568,ER,F181059144,2018-04-15,2018-04-15
20180415141215PD,76335,B1,+37.30552,-121.84542,ER,F181059144,2018-04-15,2018-04-15
20180415141220PD,76340,B1,+37.30525,-121.84543,ER,F181059144,2018-04-15,2018-04-15
20180415141224PD,76344,B1,+37.30508,-121.84569,ER,F181059144,2018-04-15,2018-04-15
20180415141229PD,76349,B1,+37.30483,-121.84590,ER,F181059144,2018-04-15,2018-04-15
20180415141233PD,76353,B1,+37.30454,-121.84565,ER,F181059144,2018-04-15,2018-04-15
20180415141240PD,76360,B1,+37.30397,-121.84509,ER,F181059144,2018-04-15,2018-04-15
20180415141245PD,76365,B1,+37.30373,-121.84489,ER,F181059144,2018-04-15,2018-04-15
20180415141250PD,76370,B1,+37.30359,-121.84492,ER,F181059144,2018-04-15,2018-04-15
20180415141254PD,76374,B1,+37.30357,-121.84497,ER,F181059144,2018-04-15,2018-04-15
20180415141259PD,76379,B1,+37.30360,-121.84492,ER,F181059144,2018-04-15,2018-04-15
20180415141303PD,76383,B1,+37.30361,-121.84487,ER,F181059144,2018-04-15,2018-04-15
20180415141308PD,76388,B1,+37.30362,-121.84484,ER,F181059144,2018-04-15,2018-04-15
20180415141312PD,76392,B1,+37.30361,-121.84489,ER,F181059144,2018-04-15,2018-04-15
20180415141032PD,76232,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141036PD,76236,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141041PD,76241,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141045PD,76245,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141049PD,76249,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141053PD,76253,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141057PD,76257,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141101PD,76261,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141105PD,76265,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141109PD,76269,B13,+37.26740,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141113PD,76273,B13,+37.26741,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141117PD,76277,B13,+37.26742,-121.86646,ER,F181059144,2018-04-15,2018-04-15
20180415141121PD,76281,B13,+37.26744,-121.86645,ER,F181059144,2018-04-15,2018-04-15
20180415141125PD,76285,B13,+37.26742,-121.86647,ER,F181059144,2018-04-15,2018-04-15
20180415141129PD,76289,B13,+37.26737,-121.86659,ER,F181059144,2018-04-15,2018-04-15
20180415141133PD,76293,B13,+37.26736,-121.86669,ER,F181059144,2018-04-15,2018-04-15
20180415141137PD,76297,B13,+37.26745,-121.86678,ER,F181059144,2018-04-15,2018-04-15
20180415141141PD,76301,B13,+37.26771,-121.86691,ER,F181059144,2018-04-15,2018-04-15
20180415141147PD,76307,B13,+37.26851,-121.86726,ER,F181059144,2018-04-15,2018-04-15
20180415141151PD,76311,B13,+37.26916,-121.86755,ER,F181059144,2018-04-15,2018-04-15
20180415141155PD,76315,B13,+37.26987,-121.86788,ER,F181059144,2018-04-15,2018-04-15
20180415141159PD,76319,B13,+37.27061,-121.86821,ER,F181059144,2018-04-15,2018-04-15
20180415141203PD,76323,B13,+37.27136,-121.86856,ER,F181059144,2018-04-15,2018-04-15
20180415141207PD,76327,B13,+37.27207,-121.86888,ER,F181059144,2018-04-15,2018-04-15
20180415141211PD,76331,B13,+37.27275,-121.86919,ER,F181059144,2018-04-15,2018-04-15
20180415141215PD,76335,B13,+37.27346,-121.86951,ER,F181059144,2018-04-15,2018-04-15
20180415141219PD,76339,B13,+37.27416,-121.86982,ER,F181059144,2018-04-15,2018-04-15
20180415141224PD,76344,B13,+37.27482,-121.87007,ER,F181059144,2018-04-15,2018-04-15
20180415141228PD,76348,B13,+37.27509,-121.87002,ER,F181059144,2018-04-15,2018-04-15
20180415141235PD,76355,B13,+37.27514,-121.86897,ER,F181059144,2018-04-15,2018-04-15
20180415141239PD,76359,B13,+37.27505,-121.86801,ER,F181059144,2018-04-15,2018-04-15
20180415141243PD,76363,B13,+37.27494,-121.86699,ER,F181059144,2018-04-15,2018-04-15
20180415141247PD,76367,B13,+37.27484,-121.86601,ER,F181059144,2018-04-15,2018-04-15
20180415141252PD,76372,B13,+37.27475,-121.86518,ER,F181059144,2018-04-15,2018-04-15
20180415141256PD,76376,B13,+37.27473,-121.86498,ER,F181059144,2018-04-15,2018-04-15
20180415141301PD,76381,B13,+37.27473,-121.86493,ER,F181059144,2018-04-15,2018-04-15
20180415141305PD,76385,B13,+37.27471,-121.86477,ER,F181059144,2018-04-15,2018-04-15
20180415141309PD,76389,B13,+37.27466,-121.86432,ER,F181059144,2018-04-15,2018-04-15
20180415141315PD,76395,B13,+37.27453,-121.86323,ER,F181059144,2018-04-15,2018-04-15
20180415141319PD,76399,B13,+37.27445,-121.86230,ER,F181059144,2018-04-15,2018-04-15
20180415141325PD,76405,B13,+37.27438,-121.86070,ER,F181059144,2018-04-15,2018-04-15
20180415141329PD,76409,B13,+37.27437,-121.85957,ER,F181059144,2018-04-15,2018-04-15
20180415141335PD,76415,B13,+37.27440,-121.85779,ER,F181059144,2018-04-15,2018-04-15
20180415141339PD,76419,B13,+37.27443,-121.85660,ER,F181059144,2018-04-15,2018-04-15
20180415141345PD,76425,B13,+37.27447,-121.85482,ER,F181059144,2018-04-15,2018-04-15
20180415141351PD,76431,B13,+37.27449,-121.85301,ER,F181059144,2018-04-15,2018-04-15
20180415141357PD,76437,B13,+37.27452,-121.85122,ER,F181059144,2018-04-15,2018-04-15
20180415141401PD,76441,B13,+37.27454,-121.85003,ER,F181059144,2018-04-15,2018-04-15
20180415141405PD,76445,B13,+37.27456,-121.84886,ER,F181059144,2018-04-15,2018-04-15
20180415141411PD,76451,B13,+37.27458,-121.84727,ER,F181059144,2018-04-15,2018-04-15
20180415141415PD,76455,B13,+37.27466,-121.84632,ER,F181059144,2018-04-15,2018-04-15
20180415141419PD,76459,B13,+37.27489,-121.84532,ER,F181059144,2018-04-15,2018-04-15
20180415141423PD,76463,B13,+37.27528,-121.84435,ER,F181059144,2018-04-15,2018-04-15
20180415141427PD,76467,B13,+37.27577,-121.84356,ER,F181059144,2018-04-15,2018-04-15
20180415141432PD,76472,B13,+37.27629,-121.84282,ER,F181059144,2018-04-15,2018-04-15
20180415141436PD,76476,B13,+37.27652,-121.84251,ER,F181059144,2018-04-15,2018-04-15
20180415141440PD,76480,B13,+37.27661,-121.84235,ER,F181059144,2018-04-15,2018-04-15
20180415141444PD,76484,B13,+37.27666,-121.84227,ER,F181059144,2018-04-15,2018-04-15
20180415141448PD,76488,B13,+37.27674,-121.84213,ER,F181059144,2018-04-15,2018-04-15
20180415141452PD,76492,B13,+37.27698,-121.84177,ER,F181059144,2018-04-15,2018-04-15
20180415141457PD,76497,B13,+37.27753,-121.84093,ER,F181059144,2018-04-15,2018-04-15
20180415141503PD,76503,B13,+37.27838,-121.83968,ER,F181059144,2018-04-15,2018-04-15
20180415141509PD,76509,B13,+37.27925,-121.83833,ER,F181059144,2018-04-15,2018-04-15
20180415141514PD,76513,B13,+37.27983,-121.83743,ER,F181059144,2018-04-15,2018-04-15
20180415141517PD,76517,B13,+37.28041,-121.83654,ER,F181059144,2018-04-15,2018-04-15
20180415141523PD,76523,B13,+37.28126,-121.83530,ER,F181059144,2018-04-15,2018-04-15
20180415141529PD,76529,B13,+37.28219,-121.83448,ER,F181059144,2018-04-15,2018-04-15
20180415141533PD,76533,B13,+37.28295,-121.83414,ER,F181059144,2018-04-15,2018-04-15
20180415141539PD,76539,B13,+37.28426,-121.83400,ER,F181059144,2018-04-15,2018-04-15
20180415141544PD,76543,B13,+37.28520,-121.83404,ER,F181059144,2018-04-15,2018-04-15
20180415141550PD,76549,B13,+37.28667,-121.83409,ER,F181059144,2018-04-15,2018-04-15
20180415141553PD,76553,B13,+37.28762,-121.83412,ER,F181059144,2018-04-15,2018-04-15
20180415141557PD,76557,B13,+37.28856,-121.83415,ER,F181059144,2018-04-15,2018-04-15
20180415141603PD,76563,B13,+37.28990,-121.83419,ER,F181059144,2018-04-15,2018-04-15
20180415141609PD,76569,B13,+37.29108,-121.83422,ER,F181059144,2018-04-15,2018-04-15
20180415141613PD,76573,B13,+37.29176,-121.83415,ER,F181059144,2018-04-15,2018-04-15
20180415141619PD,76579,B13,+37.29258,-121.83391,ER,F181059144,2018-04-15,2018-04-15
20180415141623PD,76583,B13,+37.29288,-121.83374,ER,F181059144,2018-04-15,2018-04-15
20180415141628PD,76588,B13,+37.29303,-121.83363,ER,F181059144,2018-04-15,2018-04-15
20180415141632PD,76592,B13,+37.29304,-121.83362,ER,F181059144,2018-04-15,2018-04-15
20180415141637PD,76597,B13,+37.29304,-121.83362,ER,F181059144,2018-04-15,2018-04-15
20180415141641PD,76601,B13,+37.29304,-121.83362,ER,F181059144,2018-04-15,2018-04-15
20180415141645PD,76605,B13,+37.29304,-121.83362,ER,F181059144,2018-04-15,2018-04-15
20180415011211PD,29531,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011216PD,29536,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011220PD,29540,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011225PD,29545,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011229PD,29549,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011234PD,29554,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011238PD,29558,E1,+37.33886,-121.89489,ER,F181059011,2018-04-15,2018-04-15
20180415011243PD,29563,E1,+37.33889,-121.89487,ER,F181059011,2018-04-15,2018-04-15
20180415011247PD,29567,E1,+37.33895,-121.89483,ER,F181059011,2018-04-15,2018-04-15
20180415011252PD,29572,E1,+37.33902,-121.89477,ER,F181059011,2018-04-15,2018-04-15
20180415011256PD,29576,E1,+37.33903,-121.89473,ER,F181059011,2018-04-15,2018-04-15
20180415011301PD,29581,E1,+37.33902,-121.89463,ER,F181059011,2018-04-15,2018-04-15
20180415011306PD,29586,E1,+37.33885,-121.89449,ER,F181059011,2018-04-15,2018-04-15
20180415011310PD,29590,E1,+37.33859,-121.89431,ER,F181059011,2018-04-15,2018-04-15
20180415011315PD,29595,E1,+37.33827,-121.89405,ER,F181059011,2018-04-15,2018-04-15
20180415011319PD,29599,E1,+37.33803,-121.89388,ER,F181059011,2018-04-15,2018-04-15
20180415011324PD,29604,E1,+37.33776,-121.89370,ER,F181059011,2018-04-15,2018-04-15
20180415011328PD,29608,E1,+37.33751,-121.89352,ER,F181059011,2018-04-15,2018-04-15
20180415011333PD,29613,E1,+37.33726,-121.89332,ER,F181059011,2018-04-15,2018-04-15
20180415011337PD,29617,E1,+37.33711,-121.89331,ER,F181059011,2018-04-15,2018-04-15
20180415011342PD,29622,E1,+37.33676,-121.89308,ER,F181059011,2018-04-15,2018-04-15
20180415011346PD,29626,E1,+37.33642,-121.89283,ER,F181059011,2018-04-15,2018-04-15
20180415011355PD,29635,E1,+37.33578,-121.89237,ER,F181059011,2018-04-15,2018-04-15
20180415011400PD,29640,E1,+37.33566,-121.89227,ER,F181059011,2018-04-15,2018-04-15
20180415011404PD,29644,E1,+37.33560,-121.89222,ER,F181059011,2018-04-15,2018-04-15
20180415011409PD,29649,E1,+37.33542,-121.89207,ER,F181059011,2018-04-15,2018-04-15
20180415011413PD,29653,E1,+37.33516,-121.89189,ER,F181059011,2018-04-15,2018-04-15
20180415011421PD,29661,E1,+37.33459,-121.89152,ER,F181059011,2018-04-15,2018-04-15
20180415011426PD,29666,E1,+37.33451,-121.89155,ER,F181059011,2018-04-15,2018-04-15
20180415011431PD,29671,E1,+37.33445,-121.89169,ER,F181059011,2018-04-15,2018-04-15
20180415011435PD,29675,E1,+37.33435,-121.89191,ER,F181059011,2018-04-15,2018-04-15
20180415011440PD,29680,E1,+37.33426,-121.89210,ER,F181059011,2018-04-15,2018-04-15
20180415011444PD,29684,E1,+37.33425,-121.89218,ER,F181059011,2018-04-15,2018-04-15
20180415011449PD,29689,E1,+37.33411,-121.89214,AR,F181059011,2018-04-15,2018-04-15
20180415013049PD,30649,E1,+37.33875,-121.89492,ER,F181059014,2018-04-15,2018-04-15
20180415013054PD,30654,E1,+37.33875,-121.89492,ER,F181059014,2018-04-15,2018-04-15
20180415013103PD,30663,E1,+37.33875,-121.89492,ER,F181059014,2018-04-15,2018-04-15
20180415013107PD,30667,E1,+37.33875,-121.89492,ER,F181059014,2018-04-15,2018-04-15
20180415013112PD,30672,E1,+37.33875,-121.89492,ER,F181059014,2018-04-15,2018-04-15
20180415013116PD,30676,E1,+37.33875,-121.89492,ER,F181059014,2018-04-15,2018-04-15
