datetime,utc,veh_id,lat,lon,type,trip_id,date,start_date
20180615031007PD,36607,B1,+37.33867,-121.89473,ER,F181669024,2018-06-15,2018-06-15
20180615031012PD,36612,B1,+37.33867,-121.89473,ER,F181669024,2018-06-15,2018-06-15
20180615031017PD,36617,B1,+37.33867,-121.89473,ER,F181669024,2018-06-15,2018-06-15
20180615031022PD,36622,B1,+37.33867,-121.89473,ER,F181669024,2018-06-15,2018-06-15
20180615031027PD,36627,B1,+37.33867,-121.89473,ER,F181669024,2018-06-15,2018-06-15
20180615031032PD,36632,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031037PD,36637,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031042PD,36642,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031047PD,36647,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031052PD,36652,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031057PD,36657,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031102PD,36662,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031107PD,36667,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031112PD,36672,B1,+37.33867,-121.89472,ER,F181669024,2018-06-15,2018-06-15
20180615031117PD,36677,B1,+37.33867,-121.89470,ER,F181669024,2018-06-15,2018-06-15
20180615031122PD,36682,B1,+37.33870,-121.89464,ER,F181669024,2018-06-15,2018-06-15
20180615031127PD,36687,B1,+37.33872,-121.89460,ER,F181669024,2018-06-15,2018-06-15
20180615031132PD,36692,B1,+37.33873,-121.89459,ER,F181669024,2018-06-15,2018-06-15
20180615031137PD,36697,B1,+37.33873,-121.89459,ER,F181669024,2018-06-15,2018-06-15
20180615031142PD,36702,B1,+37.33873,-121.89459,ER,F181669024,2018-06-15,2018-06-15
20180615031147PD,36707,B1,+37.33874,-121.89453,ER,F181669024,2018-06-15,2018-06-15
20180615031152PD,36712,B1,+37.33864,-121.89440,ER,F181669024,2018-06-15,2018-06-15
20180615031157PD,36717,B1,+37.33857,-121.89431,ER,F181669024,2018-06-15,2018-06-15
20180615031202PD,36722,B1,+37.33846,-121.89422,ER,F181669024,2018-06-15,2018-06-15
